timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.017,0.19,0.97,0.1,1.15,-0.96,0.14
0.036,0.19,0.98,0.1,0.37,1.22,-0.64
0.059,0.17,0.99,0.09,-2.24,0.5,-2.82
0.077,0.18,0.98,0.11,-3.27,1.94,0.08
0.095,0.19,0.96,0.12,-0.35,-0.78,0.73
0.118,0.19,0.98,0.1,1.5,-0.92,-0.87
0.137,0.18,0.99,0.1,-0.23,-1.05,-1.34
0.155,0.19,0.98,0.1,-0.98,0.73,-0.41
0.178,0.19,0.98,0.1,-1.21,-0.37,-0.38
0.199,0.18,0.98,0.11,-0.64,-3.01,0.02
0.22,0.18,0.97,0.1,0.05,-3.05,-4.18
0.237,0.19,0.98,0.09,-0.44,-0.55,-0.29
0.256,0.18,0.98,0.1,-0.41,-2.35,0.81
0.284,0.19,0.98,0.09,-1.57,0.44,-0.12
0.297,0.18,0.96,0.1,-1.3,0.2,-3.1
0.315,0.19,0.97,0.1,0.64,-0.05,-0.58
0.338,0.19,0.98,0.08,-0.34,0.92,-0.82
0.357,0.19,0.98,0.09,-1.33,-0.34,-0.73
0.375,0.19,0.99,0.09,-1.8,0.5,-0.85
0.398,0.19,0.98,0.09,-2.31,1.21,-0.81
0.416,0.18,0.98,0.1,-1.82,1.82,-0.81
0.435,0.18,0.97,0.1,-0.05,-1.07,0.05
0.457,0.19,0.98,0.09,-1.97,-2.7,-2.81
0.476,0.19,0.99,0.07,-3.11,-0.31,-0.47
0.499,0.19,0.97,0.1,-3.74,1.4,-0.47
0.517,0.19,0.98,0.11,-4.24,1.15,-5.48
0.535,0.19,0.97,0.1,-2.5,1.95,-1.36
0.559,0.19,0.98,0.09,-1.3,1.11,-1.71
0.577,0.18,0.98,0.09,-2.63,1.73,-1.31
0.595,0.18,0.98,0.09,-2.82,2.7,-0.96
0.618,0.18,0.98,0.08,-4.21,2.85,-1.02
0.637,0.2,0.98,0.09,-3.18,2.56,-0.66
0.655,0.18,0.98,0.08,-4.98,2.14,-0.72
0.678,0.2,0.96,0.12,-0.44,0.27,0.58
0.7,0.19,0.98,0.08,-1.65,0.55,-1.33
0.719,0.19,0.99,0.09,-4.11,1.88,-0.63
0.737,0.2,0.98,0.1,-2.38,1.98,-1.04
0.756,0.19,0.99,0.08,-4.06,1.88,-1.44
0.779,0.19,0.98,0.09,-5.22,2.99,-1.05
0.797,0.19,0.97,0.1,-4.63,2.9,-0.9
0.815,0.19,0.98,0.1,-4.92,3.45,-1.53
0.839,0.18,0.98,0.1,-4.64,4.5,-1.39
0.858,0.18,0.97,0.12,-3.59,2.35,-0.87
0.875,0.19,0.97,0.11,-1.71,2.89,-1.5
0.898,0.18,0.99,0.1,-2.26,2.29,-1.5
0.916,0.19,0.98,0.11,0.46,-0.09,-0.03
0.935,0.19,0.98,0.09,0.18,0.41,-0.5
0.958,0.19,0.99,0.09,-2.32,0.67,-0.35
0.976,0.18,0.98,0.08,-3.85,1.15,0.0
0.999,0.19,0.98,0.09,-3.59,2.85,-0.82
1.018,0.19,0.97,0.11,-2.12,3.11,-0.93
1.036,0.19,0.98,0.11,-2.08,2.46,-1.42
1.059,0.2,0.98,0.1,-2.66,3.1,-1.16
1.077,0.19,0.97,0.1,-0.06,1.33,-1.21
1.096,0.19,0.99,0.08,-1.18,1.31,-1.53
1.119,0.19,0.99,0.09,-1.73,1.1,-1.24
1.137,0.18,0.98,0.07,-2.49,1.71,-1.16
1.155,0.19,0.98,0.08,-2.72,1.48,-1.07
1.178,0.19,0.98,0.09,-2.79,1.57,-0.69
1.199,0.18,0.97,0.1,-2.37,1.65,-0.89
1.215,0.18,0.98,0.08,-2.78,1.1,-0.7
1.238,0.18,0.97,0.09,-2.67,0.84,0.14
1.256,0.19,0.97,0.1,-1.65,1.66,-0.53
1.279,0.19,0.98,0.09,-1.77,1.66,-0.92
1.297,0.19,0.98,0.09,-1.71,2.0,-1.05
1.315,0.19,0.98,0.09,-3.15,1.51,-1.28
1.339,0.19,0.98,0.09,-2.76,1.01,-0.4
1.357,0.18,0.98,0.09,-3.51,1.27,-0.7
1.375,0.2,0.97,0.1,-1.73,2.35,-1.22
1.398,0.19,0.98,0.09,-2.35,1.13,-1.15
1.417,0.19,0.98,0.08,-2.99,1.16,-0.81
1.435,0.19,0.97,0.09,-1.8,1.56,-0.79
1.458,0.19,0.98,0.1,-1.66,1.37,-1.37
1.476,0.19,0.98,0.1,-2.4,1.15,-0.87
1.5,0.19,0.98,0.09,-1.97,2.21,-1.1
1.518,0.18,0.98,0.07,-2.52,1.71,-1.02
1.536,0.19,0.98,0.08,-3.31,1.69,-0.58
1.559,0.19,0.97,0.09,-2.21,2.31,-0.9
1.577,0.18,0.99,0.09,-1.98,1.5,-0.78
1.596,0.19,0.98,0.1,-1.86,1.37,-0.52
1.619,0.19,0.98,0.08,-3.07,1.51,-0.44
1.637,0.19,0.98,0.09,-2.53,2.03,-0.55
1.657,0.19,0.97,0.08,-2.6,2.84,-1.02
1.682,0.2,0.98,0.09,-2.49,2.49,-0.99
1.697,0.19,0.99,0.08,-3.47,2.34,-0.93
1.715,0.19,0.98,0.1,-4.5,2.61,-0.69
1.745,0.18,0.98,0.08,-4.14,2.73,-0.44
1.756,0.19,0.97,0.09,-3.19,1.74,-0.26
1.78,0.19,0.97,0.09,-2.23,2.41,-0.63
1.799,0.19,0.98,0.08,-2.55,1.01,-0.12
1.816,0.19,0.98,0.09,-2.79,0.69,-0.09
1.839,0.2,0.98,0.11,-2.32,1.39,-0.58
1.857,0.2,0.98,0.09,-2.84,0.7,-1.04
1.876,0.2,0.98,0.09,-2.63,1.18,-1.27
1.899,0.2,0.98,0.09,-2.66,1.63,-1.71
1.917,0.18,0.98,0.1,-2.96,2.47,-1.57
1.935,0.18,0.99,0.07,-3.82,1.65,-1.36
1.958,0.18,0.97,0.09,-3.08,1.86,-0.93
1.976,0.19,0.98,0.1,-2.87,2.7,-1.36
1.995,0.18,0.97,0.09,-2.03,1.44,-0.79
2.017,0.19,0.98,0.09,-2.55,1.11,-0.6
2.036,0.19,0.98,0.09,-2.7,1.6,-0.31
2.059,0.2,0.98,0.09,-3.31,1.8,-0.82
2.079,0.19,0.98,0.1,-3.24,1.5,-0.64
2.101,0.2,0.98,0.09,-3.92,2.24,-0.66
2.119,0.19,0.97,0.1,-2.17,1.63,-0.69
2.137,0.19,0.98,0.09,-2.82,1.31,-1.37
2.155,0.2,0.97,0.1,-1.74,1.92,-1.3
2.179,0.18,1.0,0.09,-2.87,1.31,-1.5
2.197,0.19,0.98,0.09,-3.82,1.44,-0.9
2.215,0.19,0.98,0.08,-3.57,2.35,-1.31
2.242,0.18,0.98,0.09,-4.44,2.29,-1.25
2.256,0.19,0.97,0.1,-2.96,2.0,-0.5
2.279,0.19,0.98,0.1,-3.05,1.85,-0.72
2.3,0.19,0.98,0.09,-2.93,1.6,-0.09
2.316,0.19,0.98,0.1,-2.43,2.14,-0.66
2.339,0.19,0.98,0.09,-3.19,2.03,-1.08
2.358,0.2,0.98,0.1,-1.92,1.95,-1.27
2.375,0.2,0.98,0.09,-2.63,1.33,-1.6
2.399,0.19,0.98,0.1,-2.76,1.83,-1.31
2.417,0.18,0.97,0.1,-2.11,1.71,-1.77
2.435,0.19,0.99,0.09,-2.2,1.95,-1.51
2.458,0.19,0.98,0.09,-2.32,1.66,-1.02
2.476,0.18,0.98,0.09,-3.11,1.48,-0.7
2.495,0.18,0.98,0.1,-2.96,2.05,-0.58
2.518,0.19,0.98,0.09,-2.38,1.42,-0.4
2.536,0.19,0.97,0.09,-3.05,1.6,-0.58
2.559,0.19,0.98,0.1,-3.16,1.53,-0.6
2.577,0.19,0.98,0.1,-3.47,0.87,-0.43
2.596,0.2,0.98,0.09,-4.15,1.33,-0.98
2.619,0.19,0.97,0.1,-3.74,1.37,-1.15
2.637,0.19,0.97,0.1,-2.49,-0.15,-0.79
2.655,0.19,0.98,0.1,-1.01,-2.55,-0.21
2.678,0.2,0.98,0.09,-1.79,-0.81,-0.84
2.696,0.2,0.99,0.1,-3.51,0.99,-1.63
2.714,0.2,0.98,0.1,-3.82,3.05,-1.51
2.738,0.18,0.97,0.11,-2.64,1.57,-1.69
2.756,0.19,0.98,0.1,-2.64,1.66,-1.56
2.78,0.19,0.98,0.11,-2.46,1.85,-1.45
2.797,0.19,0.98,0.11,-2.53,2.24,-1.34
2.816,0.18,0.98,0.1,-2.7,2.03,-1.05
2.839,0.19,0.97,0.11,-1.59,1.33,-0.84
2.857,0.19,0.99,0.1,-1.94,2.18,-1.3
2.875,0.18,0.98,0.08,-2.38,2.53,-1.1
2.899,0.18,0.99,0.1,-2.7,2.26,-0.82
2.917,0.19,0.97,0.1,-1.42,2.21,-0.7
2.935,0.19,0.98,0.09,-1.51,2.72,-1.16
2.958,0.19,0.98,0.09,-2.79,1.89,-1.05
2.976,0.18,0.98,0.09,-3.51,1.37,-0.93
3.0,0.19,0.97,0.09,-3.05,0.11,-0.76
3.018,0.19,0.98,0.1,-2.64,0.41,-0.84
3.036,0.19,0.98,0.09,-2.11,1.47,-1.07
3.059,0.18,0.99,0.09,-2.87,1.42,-1.22
3.077,0.18,0.98,0.09,-2.98,0.87,-0.29
3.097,0.19,0.98,0.09,-3.53,1.57,-0.69
3.119,0.19,0.98,0.09,-3.24,2.55,-0.75
3.137,0.2,0.97,0.1,-2.76,1.85,-0.95
3.155,0.19,0.98,0.1,-3.19,1.48,-1.44
3.18,0.19,0.97,0.1,-2.72,1.42,-1.56
3.2,0.19,0.98,0.09,-3.04,1.37,-1.56
3.215,0.18,0.97,0.1,-2.84,1.36,-1.25
3.244,0.18,0.98,0.1,-2.96,1.25,-1.34
3.256,0.18,0.98,0.09,-3.63,1.51,-0.85
3.28,0.18,0.97,0.1,-3.4,2.27,-0.64
3.299,0.18,0.98,0.1,-3.45,1.83,-0.44
3.316,0.19,0.97,0.09,-2.61,2.31,-0.53
3.339,0.19,0.98,0.08,-4.08,1.6,-0.55
3.357,0.19,0.98,0.11,-4.05,1.92,-0.27
3.377,0.19,0.97,0.1,-3.91,1.16,-0.78
3.399,0.18,0.98,0.1,-2.89,0.02,-0.35
3.417,0.19,0.98,0.1,-2.67,-0.7,-0.37
3.435,0.19,0.98,0.1,-3.73,0.67,-0.69
3.458,0.18,0.97,0.1,-3.24,0.98,-0.84
3.476,0.19,0.98,0.1,-3.53,1.07,-0.82
3.5,0.19,0.98,0.1,-3.11,1.42,-0.84
3.518,0.19,0.98,0.12,-2.23,2.09,-1.01
3.536,0.18,0.98,0.1,-3.05,1.65,-1.15
3.559,0.19,0.98,0.1,-2.41,1.76,-0.24
3.577,0.19,0.97,0.11,-1.83,2.24,-1.44
3.602,0.2,0.99,0.1,-2.78,2.02,-1.47
3.619,0.19,0.98,0.11,-2.23,1.45,-0.73
