timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.004,0.19,-0.26,0.94,2.93,19.21,17.05
0.006,0.17,-0.26,0.98,4.37,17.92,14.96
0.01,0.16,-0.3,0.99,3.57,22.14,14.08
0.012,0.16,-0.32,0.98,3.05,19.82,14.64
0.017,0.16,-0.33,0.93,0.78,18.11,15.28
0.021,0.16,-0.35,0.92,2.53,7.3,16.49
0.026,0.14,-0.35,0.91,6.35,5.77,18.67
0.03,0.11,-0.35,0.9,10.29,4.31,18.2
0.033,0.1,-0.34,0.95,12.21,9.42,13.15
0.038,0.11,-0.32,0.99,12.75,16.47,6.92
0.042,0.11,-0.3,0.99,12.24,15.71,3.89
0.046,0.15,-0.29,1.0,7.28,14.2,1.59
0.05,0.15,-0.3,1.01,3.45,7.19,2.66
0.054,0.1,-0.3,1.0,1.89,7.08,6.56
0.058,0.07,-0.32,0.97,-0.5,6.72,6.73
0.062,0.11,-0.34,0.92,-0.11,-0.43,5.83
0.066,0.11,-0.34,0.94,1.68,-4.27,4.02
0.069,0.11,-0.32,0.95,3.79,-7.6,2.98
0.072,0.14,-0.31,0.94,3.39,-7.1,0.72
0.074,0.17,-0.3,0.94,4.31,-9.8,-1.6
0.076,0.17,-0.29,0.98,4.6,-7.76,-2.49
0.078,0.17,-0.29,1.0,1.33,-1.22,-3.33
0.08,0.12,-0.29,1.02,-1.42,3.68,-3.77
0.081,0.14,-0.31,1.0,-4.17,0.89,-6.31
0.083,0.13,-0.3,0.98,-6.2,-3.01,-7.6
0.085,0.18,-0.29,0.97,-4.09,-11.07,-7.44
0.087,0.19,-0.28,0.97,-6.46,-12.99,-7.31
0.089,0.2,-0.3,0.97,-3.4,-10.41,-7.76
0.091,0.24,-0.3,0.94,-1.31,-9.1,-7.74
0.093,0.22,-0.28,0.95,-2.75,-5.92,-6.87
0.095,0.2,-0.28,0.96,-3.83,-6.61,-6.34
0.097,0.2,-0.29,0.98,-5.95,2.55,-9.59
0.099,0.18,-0.31,1.0,-5.91,8.64,-12.34
0.1,0.18,-0.33,0.96,-6.72,9.95,-12.6
0.102,0.16,-0.35,0.92,-6.23,3.8,-9.82
0.104,0.2,-0.37,0.88,-3.37,-5.63,-8.87
0.106,0.2,-0.34,0.91,1.1,-8.15,-8.35
0.108,0.22,-0.31,0.94,4.12,-6.24,-9.11
0.11,0.2,-0.32,0.99,3.79,-0.7,-11.53
0.112,0.25,-0.31,0.95,-0.37,5.11,-13.02
0.114,0.27,-0.32,0.92,-3.85,0.41,-14.58
0.116,0.32,-0.3,0.89,-5.65,-3.82,-12.67
0.118,0.29,-0.3,0.96,-2.69,-1.5,-9.24
0.12,0.26,-0.29,1.0,1.13,5.36,-5.31
0.121,0.29,-0.3,0.98,1.1,8.0,-5.25
0.123,0.29,-0.29,0.96,-2.5,5.69,-3.68
0.125,0.31,-0.32,0.93,-5.01,-2.12,-0.73
0.127,0.31,-0.31,0.92,-3.62,-7.89,2.38
0.129,0.33,-0.35,0.87,-2.17,-5.79,5.53
0.131,0.29,-0.35,0.89,1.53,-3.08,9.79
0.132,0.28,-0.35,0.92,4.24,-2.98,9.88
0.134,0.33,-0.34,0.93,5.15,-0.53,6.9
0.136,0.34,-0.34,0.88,5.07,-1.21,9.57
0.138,0.33,-0.34,0.9,3.47,-4.17,15.01
0.14,0.36,-0.32,0.94,4.02,-9.05,17.16
0.142,0.37,-0.3,0.92,1.01,-5.71,18.12
0.144,0.37,-0.28,0.9,0.64,-2.0,22.15
0.146,0.37,-0.28,0.87,1.94,-7.83,27.27
0.148,0.37,-0.29,0.92,5.24,-14.93,32.24
0.15,0.36,-0.27,0.93,4.64,-12.9,35.16
0.158,0.37,-0.27,0.9,0.7,-7.74,38.64
0.177,0.32,-0.25,0.89,-1.54,-2.44,42.85
0.201,0.29,-0.28,0.89,-2.18,-7.53,46.5
0.219,0.29,-0.3,0.86,-0.27,-11.44,47.21
0.239,0.28,-0.29,0.83,-0.5,-8.87,47.86
0.261,0.26,-0.27,0.82,6.18,-12.15,51.65
0.279,0.27,-0.29,0.86,10.18,-14.06,53.04
0.299,0.29,-0.26,0.89,13.88,-10.37,50.9
0.318,0.26,-0.21,0.92,17.53,-2.15,54.5
0.342,0.26,-0.21,0.9,15.15,-2.4,58.37
0.359,0.23,-0.2,0.89,13.54,-6.43,61.15
0.379,0.22,-0.21,0.92,14.09,-16.95,64.89
0.399,0.22,-0.19,0.83,13.82,-19.63,68.46
0.419,0.17,-0.18,0.84,12.32,-20.24,71.39
0.439,0.15,-0.18,0.87,15.15,-23.77,72.6
0.459,0.18,-0.2,0.82,17.08,-22.03,70.52
0.479,0.12,-0.19,0.83,16.26,-11.85,70.02
0.498,0.09,-0.14,0.88,19.79,-8.96,69.63
0.519,0.11,-0.13,0.92,18.05,-12.15,70.43
0.539,0.04,-0.18,0.86,20.96,-17.15,72.61
0.558,0.07,-0.19,0.83,22.37,-28.82,69.36
0.578,-0.01,-0.14,0.95,26.95,-24.23,65.91
0.598,-0.07,-0.11,1.02,28.76,-20.56,59.25
0.621,0.01,-0.15,0.91,27.3,-25.53,52.79
0.639,-0.03,-0.19,0.83,30.72,-30.64,49.71
0.659,-0.08,-0.15,0.91,33.68,-34.24,46.67
0.681,-0.06,-0.09,1.0,33.53,-32.99,35.91
0.7,0.08,-0.06,1.05,34.29,-47.47,27.3
0.719,0.29,0.01,0.93,31.39,-59.04,24.73
0.738,0.21,-0.03,1.0,19.18,-44.96,32.0
0.759,-0.08,-0.06,1.17,-2.7,-27.77,24.05
0.777,-0.05,-0.11,1.04,-8.64,-13.48,22.15
0.806,0.07,-0.24,0.98,-8.69,-35.19,2.98
0.818,0.22,-0.24,0.96,-4.23,-57.56,-5.11
0.838,0.22,-0.21,0.77,-13.22,-45.1,-5.07
0.86,0.15,-0.31,0.72,-15.04,-29.79,-5.28
0.88,0.02,-0.33,0.87,5.27,-24.82,-7.57
0.899,0.1,-0.29,0.85,8.15,-27.71,-24.6
0.918,0.3,-0.17,0.91,15.24,-35.54,-45.27
0.939,0.34,-0.19,0.94,0.29,-27.01,-51.48
0.958,0.32,-0.17,1.01,-3.25,-0.72,-47.48
0.977,0.33,-0.13,1.13,-2.24,5.79,-47.13
1.001,0.26,-0.11,1.06,-2.29,0.34,-39.98
1.02,0.28,-0.2,0.92,-3.63,4.31,-35.91
1.038,0.28,-0.24,1.13,-15.39,29.21,-44.85
1.061,0.31,-0.13,1.16,-13.08,28.29,-47.6
1.08,0.32,-0.07,1.13,3.13,11.98,-42.27
1.099,0.25,-0.13,1.13,2.6,11.36,-49.82
1.118,0.19,-0.26,0.97,11.21,8.43,-52.61
1.146,0.24,-0.16,1.04,30.93,-10.61,-62.06
1.16,0.26,-0.04,1.11,48.53,-12.84,-69.91
1.178,0.29,-0.07,1.13,32.6,-21.8,-71.05
1.202,0.36,-0.09,1.08,23.16,-22.49,-64.99
1.218,0.33,-0.04,1.1,22.75,-5.3,-67.16
1.237,0.36,0.07,1.13,32.5,5.3,-68.53
1.261,0.3,0.11,1.19,38.99,18.93,-71.77
1.28,0.38,0.09,1.16,33.5,25.79,-77.04
1.299,0.28,0.08,1.12,20.14,32.29,-71.34
1.322,0.18,0.1,1.19,17.05,18.29,-64.58
1.341,0.24,0.16,1.17,16.38,-1.8,-65.45
1.359,0.26,0.08,1.09,5.76,-11.66,-74.12
1.378,0.29,0.04,1.12,-3.98,-10.02,-78.03
1.401,0.36,0.09,1.19,-12.06,-12.03,-83.62
1.419,0.42,0.17,1.13,-13.98,-5.56,-81.8
1.439,0.32,0.17,1.13,-12.6,3.82,-70.11
1.461,0.26,0.11,1.06,-14.6,-7.94,-69.68
1.479,0.29,0.08,0.96,-21.54,-18.34,-73.21
1.499,0.3,0.08,0.94,-26.35,-29.22,-81.91
1.521,0.36,0.12,0.91,-26.09,-42.7,-86.27
1.539,0.41,0.14,0.9,-23.42,-43.33,-88.87
1.559,0.38,0.11,0.91,-16.21,-51.92,-83.57
1.581,0.41,0.1,0.98,-16.87,-67.56,-81.1
1.599,0.46,0.14,1.0,-20.49,-77.44,-82.67
1.622,0.57,0.18,1.0,-32.73,-81.86,-87.15
1.641,0.6,0.14,0.95,-40.11,-78.12,-84.15
1.659,0.6,0.09,0.9,-38.82,-62.76,-78.18
1.682,0.64,0.08,0.84,-33.97,-65.22,-73.89
1.7,0.7,0.1,0.81,-24.38,-66.66,-70.2
1.718,0.76,0.11,0.8,-16.52,-54.67,-67.18
1.742,0.73,0.12,0.88,-10.24,-35.01,-60.29
1.76,0.69,0.11,0.86,-5.82,-14.5,-50.84
1.779,0.67,0.15,0.87,-4.03,-10.44,-46.72
1.802,0.7,0.17,0.85,-1.86,-5.47,-44.0
1.82,0.66,0.17,0.98,3.02,15.22,-40.92
1.839,0.64,0.15,0.96,-0.76,32.4,-39.59
1.862,0.52,0.22,1.16,16.5,40.95,-30.95
1.881,0.6,0.16,0.97,-20.24,-0.72,-39.66
1.9,0.59,0.16,0.85,-42.09,-45.8,-38.15
1.921,0.67,0.15,0.77,-42.12,-52.31,-36.11
1.94,0.66,0.16,0.81,-22.56,-39.65,-31.44
1.959,0.62,0.18,0.85,-12.98,-21.88,-27.45
