timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.07,0.02,0.96,-5.1,-2.38,-6.35
0.002,0.08,0.03,0.96,-2.69,-0.47,-5.45
0.004,0.11,0.02,0.95,-2.0,9.1,-7.69
0.006,0.11,0.02,0.96,-2.73,7.25,-11.1
0.007,0.09,0.04,0.95,-6.05,3.63,-12.41
0.009,0.1,0.03,0.95,-9.48,-1.86,-8.95
0.01,0.12,0.02,0.96,-0.14,4.61,-9.1
0.012,0.11,0.02,0.95,0.64,6.05,-9.69
0.013,0.09,0.01,0.93,-3.8,2.69,-12.4
0.014,0.08,0.01,0.95,-7.57,-1.68,-14.41
0.016,0.07,-0.0,0.98,-6.72,-3.82,-14.69
0.017,0.08,0.01,0.97,-1.79,0.27,-12.85
0.018,0.06,0.01,0.96,-0.58,2.81,-13.28
0.019,0.05,0.03,0.94,-1.42,3.13,-12.7
0.02,0.06,0.03,0.94,-4.95,2.17,-10.61
0.022,0.06,0.03,0.95,-6.63,-0.23,-9.63
0.023,0.07,0.02,0.95,-6.23,-0.58,-7.56
0.024,0.07,0.01,0.95,-5.18,1.71,-7.71
0.025,0.07,0.01,0.95,-5.53,0.21,-8.11
0.026,0.07,0.02,0.94,-6.61,-2.15,-6.64
0.027,0.08,0.01,0.95,-6.14,1.07,-6.89
0.028,0.07,0.0,0.96,-5.68,-0.23,-6.78
0.029,0.06,0.0,0.94,-5.59,-1.19,-3.19
0.03,0.09,-0.01,0.96,-5.95,0.81,-1.04
0.031,0.09,-0.01,0.94,-5.27,1.27,-3.13
0.032,0.09,0.0,0.94,-6.72,0.6,-3.1
0.033,0.08,-0.01,0.95,-6.34,3.91,-4.6
0.034,0.07,0.01,0.96,-7.42,2.89,-4.21
0.035,0.09,0.02,0.95,-9.21,3.63,-1.11
0.036,0.11,-0.01,0.98,-8.32,7.3,-0.72
0.037,0.11,-0.01,0.98,-8.27,8.55,-2.52
0.038,0.1,-0.03,0.98,-7.28,7.54,-5.89
0.038,0.05,-0.03,0.97,-4.81,5.88,-7.68
0.039,0.05,-0.01,0.97,-5.71,1.68,-3.42
0.04,0.07,-0.01,0.98,-4.75,5.16,-1.97
0.041,0.07,-0.0,0.97,-3.07,2.76,-1.79
0.042,0.08,-0.01,0.96,-3.04,3.33,-1.68
0.043,0.09,-0.01,0.95,-4.47,3.59,-2.98
0.044,0.09,-0.01,0.95,-4.99,0.72,-5.39
0.045,0.08,-0.02,0.95,-3.59,-1.18,-4.32
0.045,0.09,-0.01,0.94,-2.85,-0.5,-5.69
0.046,0.06,-0.01,0.96,-4.63,-5.25,-5.82
0.047,0.08,-0.01,0.95,-4.44,-4.43,-4.6
0.048,0.07,-0.01,0.96,-4.32,-2.87,-6.24
0.049,0.09,-0.01,0.95,-5.02,-6.03,-7.34
0.05,0.11,-0.03,0.94,-4.05,-4.34,-6.82
0.05,0.13,-0.02,0.93,-3.77,-2.69,-5.65
0.051,0.13,-0.03,0.94,-5.16,-1.44,-9.59
0.052,0.11,-0.02,0.94,-5.07,-4.76,-11.25
0.053,0.11,-0.01,0.95,-4.85,-6.92,-10.23
0.054,0.17,-0.01,0.93,-4.96,-0.96,-8.93
0.054,0.14,-0.02,0.94,-7.65,0.2,-14.93
0.055,0.1,-0.02,0.94,-10.03,-6.0,-17.47
0.056,0.1,-0.04,0.94,-10.11,-7.13,-12.56
0.057,0.1,-0.07,0.96,-7.85,-2.26,-11.56
0.058,0.09,-0.06,0.96,-7.42,-1.42,-11.39
0.063,0.12,-0.06,0.93,-6.93,-2.81,-11.04
0.085,0.14,-0.05,0.93,-7.89,3.34,-12.11
0.107,0.14,-0.04,0.93,-8.31,5.3,-11.71
0.131,0.14,-0.05,0.93,-7.66,3.18,-13.53
0.153,0.15,-0.04,0.92,-8.35,2.15,-12.43
0.175,0.19,-0.05,0.92,-6.03,5.53,-12.31
0.204,0.17,-0.06,0.93,-4.72,4.76,-19.89
0.226,0.12,-0.05,0.92,-7.91,4.82,-25.8
0.248,0.12,-0.03,0.91,-10.53,-8.24,-21.89
0.272,0.16,-0.06,0.94,-3.92,-2.24,-23.02
0.294,0.14,-0.04,0.91,-5.95,-3.94,-26.85
0.317,0.09,-0.05,0.91,-7.02,-10.82,-24.85
0.34,0.09,-0.08,0.94,0.15,-6.89,-16.52
0.368,0.1,-0.07,0.9,-5.39,-2.98,-12.61
0.39,0.12,-0.06,0.91,-10.26,-13.07,-9.11
0.414,0.15,-0.07,0.9,-14.02,-13.42,-9.98
0.435,0.15,-0.08,0.9,-15.18,-13.51,-7.82
0.457,0.2,-0.09,0.91,-15.53,-8.18,-5.02
0.48,0.17,-0.12,0.93,-20.98,-6.67,-15.34
0.503,0.16,-0.13,0.94,-20.73,-13.79,-13.21
0.53,0.19,-0.13,0.95,-16.7,-8.78,-6.92
0.553,0.21,-0.1,0.93,-11.82,7.59,-13.79
0.576,0.13,-0.11,0.92,-16.89,1.86,-23.31
0.599,0.15,-0.14,1.01,-27.54,-10.92,-23.48
0.621,0.15,-0.07,0.98,-14.69,8.32,-29.22
0.643,0.13,-0.13,1.0,-3.16,-6.49,-22.05
0.671,0.17,-0.1,0.89,-1.28,-13.54,-15.66
0.694,0.21,-0.11,0.89,-4.82,4.66,-12.75
0.716,0.13,-0.11,0.89,-13.85,5.94,-15.19
0.738,0.13,-0.16,0.94,-18.14,-9.18,-11.19
0.762,0.2,-0.16,0.95,-14.02,-7.74,-9.5
0.784,0.18,-0.16,0.93,-6.67,-2.03,-8.84
0.806,0.15,-0.15,0.89,-15.24,0.98,-8.99
0.829,0.14,-0.17,0.93,-26.78,-5.28,-9.08
0.857,0.14,-0.2,0.92,-25.01,-11.13,-7.28
0.879,0.2,-0.19,0.9,-20.82,-6.69,-2.49
0.902,0.25,-0.21,0.91,-21.66,7.6,-10.43
0.925,0.2,-0.22,0.93,-23.85,8.72,-14.21
0.947,0.17,-0.21,0.9,-22.23,8.0,-10.67
0.97,0.14,-0.2,0.9,-23.6,3.65,-6.61
0.993,0.14,-0.22,0.92,-24.84,-6.34,-4.43
1.02,0.19,-0.23,0.95,-24.34,-8.55,-6.02
1.043,0.22,-0.26,0.92,-16.18,5.13,-12.23
1.065,0.14,-0.26,0.91,-18.37,0.93,-8.08
1.088,0.2,-0.24,0.87,-25.71,-5.16,-13.89
1.111,0.16,-0.3,0.93,-17.85,-26.93,-22.37
1.133,0.13,-0.3,0.9,-14.15,-10.73,-19.08
1.161,0.14,-0.28,0.92,3.76,-32.24,-6.14
1.184,0.17,-0.3,0.96,5.01,-7.71,1.77
1.206,0.12,-0.31,0.98,-0.7,-23.15,14.84
1.228,0.2,-0.33,1.01,-8.79,-31.98,14.99
1.252,0.26,-0.29,0.98,4.52,-17.11,10.2
1.274,0.18,-0.27,0.99,0.35,-20.2,24.06
1.296,0.22,-0.29,1.01,-3.85,-24.87,30.75
