timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.002,0.13,-0.3,0.95,1.85,-4.32,9.37
0.011,0.13,-0.3,0.92,3.98,-9.39,9.94
0.019,0.18,-0.29,0.94,4.2,-7.24,12.82
0.024,0.1,-0.28,0.98,4.08,-4.5,10.66
0.029,0.12,-0.27,1.02,1.95,-0.32,6.63
0.034,0.15,-0.31,0.96,2.69,-4.5,7.59
0.038,0.17,-0.31,0.94,0.96,-9.71,10.34
0.044,0.19,-0.31,0.9,0.49,-11.59,11.83
0.049,0.18,-0.28,0.91,3.1,-13.3,15.3
0.054,0.14,-0.28,0.89,5.8,-12.67,13.94
0.058,0.17,-0.28,0.91,4.53,-2.89,7.66
0.062,0.17,-0.28,0.91,4.31,1.79,7.83
0.066,0.12,-0.24,1.0,2.08,-4.52,10.41
0.071,0.12,-0.25,0.94,0.49,-10.55,13.66
0.075,0.17,-0.28,0.89,0.72,-13.3,16.53
0.08,0.14,-0.27,0.92,-0.14,-0.66,17.76
0.084,0.04,-0.28,0.98,1.31,7.98,12.66
0.089,-0.0,-0.28,1.02,-0.64,11.68,2.5
0.095,0.03,-0.27,1.03,-4.35,13.36,-5.92
0.1,0.08,-0.26,1.05,-6.61,4.72,-2.7
0.104,0.11,-0.27,1.05,-2.29,-12.6,6.47
0.109,0.11,-0.28,1.0,2.79,-30.55,15.15
0.112,0.12,-0.28,0.97,2.49,-21.5,15.5
0.114,0.08,-0.28,1.0,0.95,-3.36,9.33
0.116,0.02,-0.3,1.08,-2.37,5.63,-0.96
0.117,0.07,-0.28,1.03,-4.6,10.55,-2.02
0.119,0.07,-0.31,0.99,-5.3,5.42,-3.62
0.121,0.09,-0.28,0.99,-6.66,-1.31,-1.53
0.123,0.1,-0.29,0.99,-0.75,-8.84,1.47
0.125,0.13,-0.3,0.96,4.6,-13.18,1.89
0.127,0.13,-0.29,0.95,5.21,-5.37,-1.15
0.128,0.08,-0.29,1.03,2.78,2.05,-8.14
0.13,0.12,-0.26,1.04,-1.25,3.36,-9.08
0.132,0.15,-0.27,0.98,-1.95,-3.57,-4.37
0.134,0.13,-0.29,0.96,-4.06,-5.3,-3.68
0.136,0.13,-0.28,0.96,-2.43,-8.32,-5.13
0.137,0.12,-0.27,0.97,-0.72,-5.27,-7.62
0.14,0.11,-0.26,0.96,-1.92,-4.34,-11.45
0.142,0.12,-0.27,1.01,-6.69,-0.52,-14.82
0.143,0.17,-0.28,0.99,-6.93,-2.99,-13.51
0.145,0.14,-0.29,0.99,-8.21,-9.16,-11.66
0.147,0.17,-0.26,0.99,-11.13,-13.8,-13.69
0.149,0.2,-0.28,0.93,-11.62,-15.11,-11.53
0.151,0.2,-0.31,0.91,-9.77,-8.09,-11.48
0.152,0.21,-0.32,0.94,-6.69,1.07,-15.1
0.154,0.2,-0.31,0.93,-3.8,1.13,-17.39
0.156,0.23,-0.3,0.93,-2.89,-3.86,-14.87
0.158,0.23,-0.3,0.95,-1.22,-6.7,-13.16
0.159,0.28,-0.32,0.94,2.15,-4.29,-9.02
0.161,0.31,-0.31,0.94,4.05,1.83,-7.53
0.163,0.28,-0.28,0.98,1.74,4.99,-6.79
0.164,0.26,-0.28,1.02,-3.27,8.08,-6.03
0.166,0.26,-0.27,1.03,-5.47,8.11,-2.96
0.168,0.28,-0.28,0.96,-8.21,4.09,1.83
0.17,0.27,-0.28,0.96,-11.34,-4.41,6.0
0.183,0.29,-0.3,0.92,-5.51,-3.95,9.22
0.204,0.33,-0.29,0.92,2.05,-2.26,20.5
0.224,0.36,-0.27,0.86,3.22,-3.57,31.63
0.244,0.28,-0.27,0.89,4.61,-6.64,38.02
0.264,0.24,-0.28,0.87,0.11,-9.95,36.46
0.284,0.22,-0.3,0.87,2.12,-13.34,33.34
0.306,0.3,-0.28,0.76,3.91,-7.94,32.7
0.325,0.31,-0.25,0.77,8.73,-7.33,38.15
0.344,0.31,-0.25,0.9,12.08,12.0,42.56
0.365,0.25,-0.22,0.83,12.93,0.2,48.75
0.385,0.19,-0.19,0.95,12.55,-11.98,47.74
0.405,0.19,-0.19,0.91,12.26,-12.63,50.79
0.425,0.16,-0.21,0.93,12.17,-22.08,54.55
0.445,0.15,-0.23,0.88,11.16,-28.4,57.01
0.465,0.15,-0.25,0.85,13.88,-38.85,60.6
0.485,0.13,-0.23,0.78,13.73,-43.85,60.69
0.504,0.15,-0.21,0.71,15.82,-49.39,59.28
0.525,0.15,-0.19,0.72,20.05,-44.73,55.44
0.545,0.12,-0.16,0.77,22.66,-31.45,49.83
0.564,0.14,-0.15,0.83,29.08,-22.7,48.61
0.584,0.11,-0.15,0.89,35.86,-23.79,50.56
0.604,0.1,-0.13,0.89,36.53,-31.05,49.82
0.624,0.15,-0.11,0.86,31.11,-42.38,50.78
0.644,0.12,-0.11,0.78,29.18,-58.89,50.89
0.664,0.12,-0.16,0.87,31.45,-59.51,46.55
0.684,0.09,-0.18,0.92,39.1,-55.76,36.81
0.704,0.23,-0.17,0.85,46.49,-60.52,33.15
0.724,0.28,-0.16,0.84,42.11,-57.16,39.98
0.744,0.29,-0.2,1.06,42.14,-61.04,49.19
0.764,0.22,-0.12,1.11,33.28,-65.33,56.15
0.784,0.17,-0.11,1.04,18.84,-71.28,55.88
