timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.002,0.27,0.21,0.98,0.09,-11.92,-1.02
0.004,0.31,0.22,0.92,0.55,-9.76,-2.18
0.006,0.29,0.21,0.92,-0.09,-4.69,-2.67
0.007,0.27,0.21,0.9,0.14,-3.16,3.88
0.008,0.29,0.22,0.9,1.1,3.36,3.22
0.01,0.27,0.24,0.89,-0.23,-0.89,1.73
0.011,0.29,0.24,0.91,-4.11,-3.77,0.66
0.013,0.28,0.22,0.91,-3.36,-3.21,-0.47
0.014,0.27,0.2,0.89,-2.99,-3.42,-1.21
0.015,0.29,0.21,0.93,-1.15,-4.31,-2.95
0.016,0.3,0.22,0.92,0.32,-1.01,-3.08
0.018,0.27,0.22,0.9,0.05,0.92,-1.37
0.019,0.3,0.22,0.91,-2.56,-1.18,-0.37
0.02,0.3,0.24,0.91,-3.27,1.33,-1.45
0.021,0.27,0.22,0.9,-4.64,3.39,0.79
0.022,0.25,0.18,0.92,-4.53,0.95,2.02
0.023,0.3,0.2,0.93,-3.04,-1.54,-1.59
0.024,0.29,0.22,0.91,-1.66,-1.95,0.47
0.025,0.26,0.18,0.88,-0.61,7.15,3.66
0.026,0.27,0.19,0.92,-3.36,4.37,1.94
0.027,0.28,0.22,0.91,-0.67,1.66,-0.84
0.028,0.26,0.21,0.85,-1.47,4.89,-0.24
0.029,0.28,0.21,0.88,-3.88,4.43,-0.17
0.03,0.26,0.22,0.88,-2.2,5.13,-1.02
0.031,0.27,0.24,0.9,-4.79,8.78,2.53
0.032,0.26,0.22,0.91,-5.08,9.05,2.61
0.033,0.27,0.22,0.9,-5.16,7.53,1.05
0.034,0.25,0.21,0.92,-4.82,7.31,2.47
0.035,0.23,0.2,0.92,-3.89,9.28,3.39
0.036,0.22,0.21,0.94,-4.21,6.47,1.82
0.037,0.23,0.21,0.95,-3.88,0.78,0.26
0.038,0.24,0.21,0.94,-2.75,0.84,1.08
0.039,0.24,0.2,0.96,-2.98,-0.79,2.0
0.039,0.26,0.21,0.96,-1.74,-4.93,-1.13
0.04,0.28,0.23,0.94,-0.79,-6.26,-0.37
0.041,0.29,0.22,0.92,-0.66,-1.65,1.88
0.042,0.28,0.2,0.92,-0.87,-2.0,0.03
0.043,0.29,0.21,0.9,-1.13,-2.81,-0.27
0.043,0.29,0.22,0.89,0.11,1.68,1.69
0.044,0.27,0.24,0.9,-1.71,1.76,1.62
0.045,0.27,0.24,0.91,-4.24,-0.23,1.73
0.046,0.27,0.23,0.93,-4.7,0.93,2.93
0.047,0.26,0.22,0.93,-2.84,0.7,1.65
0.047,0.27,0.23,0.94,-1.88,-5.53,0.38
0.048,0.29,0.21,0.93,-2.93,-5.39,0.35
0.05,0.29,0.17,0.93,5.79,-2.93,-2.31
0.072,0.32,0.17,0.9,12.92,1.5,-3.89
0.093,0.31,0.23,0.9,11.53,0.29,-8.35
0.116,0.36,0.24,0.88,11.65,-0.03,-6.46
0.138,0.34,0.24,0.85,3.92,10.05,-4.81
0.167,0.32,0.22,0.87,-2.12,10.7,-2.55
0.189,0.29,0.2,0.87,-3.21,13.89,-5.65
0.212,0.27,0.21,0.85,-4.4,13.77,-6.9
0.235,0.26,0.22,0.86,-6.18,14.2,-5.24
0.258,0.25,0.24,0.86,-5.82,16.29,-4.26
0.28,0.22,0.22,0.88,-9.15,13.6,-3.42
0.304,0.22,0.21,0.93,-9.25,10.35,-4.08
0.326,0.23,0.23,0.94,-4.9,8.96,-7.98
0.348,0.23,0.24,0.93,-5.88,7.34,-6.84
0.374,0.21,0.23,0.93,-5.62,9.22,-4.4
0.395,0.19,0.22,0.92,-4.67,5.69,-1.57
0.418,0.22,0.23,0.91,-5.71,4.44,-1.02
0.443,0.23,0.23,0.91,-6.34,5.95,-1.6
0.466,0.19,0.22,0.91,-4.17,3.45,0.56
0.488,0.21,0.23,0.9,-4.84,3.51,1.6
0.513,0.23,0.23,0.91,-4.89,3.1,0.27
0.536,0.22,0.24,0.88,-6.49,4.66,-1.74
0.558,0.21,0.23,0.88,-9.4,3.76,-0.95
0.584,0.23,0.22,0.89,-9.8,3.57,-1.28
0.606,0.24,0.25,0.89,-11.4,5.74,-2.7
0.628,0.22,0.25,0.89,-15.76,6.58,1.11
0.657,0.21,0.23,0.92,-20.37,7.25,5.07
0.679,0.21,0.21,0.98,-20.87,-5.97,-1.89
0.701,0.25,0.21,0.95,-20.37,-12.34,-5.37
0.725,0.25,0.2,0.94,-18.98,-6.81,-3.62
0.747,0.23,0.16,0.93,-14.64,0.46,1.56
0.77,0.24,0.16,0.9,-13.21,1.18,3.33
0.794,0.29,0.16,0.88,-11.6,3.92,1.92
0.816,0.26,0.15,0.87,-5.85,3.18,-8.52
0.838,0.26,0.2,0.84,-8.81,0.43,-7.71
0.87,0.27,0.22,0.85,-11.19,6.43,-5.16
0.89,0.21,0.18,0.89,-18.6,6.6,1.13
0.912,0.2,0.14,0.94,-18.81,-0.21,-1.05
0.935,0.2,0.13,0.94,-19.37,-2.31,-5.88
0.962,0.19,0.13,0.95,-22.24,-4.56,-8.06
0.98,0.22,0.12,0.96,-20.81,-3.27,-7.25
1.004,0.23,0.12,0.94,-19.83,-2.93,-4.63
1.026,0.22,0.1,0.95,-21.28,-4.37,-0.58
1.048,0.23,0.09,1.0,-20.02,-2.06,-3.04
1.077,0.23,0.1,0.98,-16.95,-2.78,-4.47
1.099,0.21,0.1,0.97,-20.23,-6.69,-3.59
1.121,0.22,0.09,1.01,-24.89,-9.86,-2.17
1.145,0.28,0.08,1.01,-19.57,-8.69,-4.27
1.167,0.27,0.06,0.98,-15.71,-5.4,-0.73
1.189,0.25,0.03,0.99,-12.5,-4.27,0.34
1.213,0.29,0.03,0.98,-10.06,-6.34,-2.87
