timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.009,0.0,-0.13,1.04,-1.62,2.99,-2.79
0.016,-0.03,-0.14,1.01,-4.37,4.34,2.84
0.021,-0.06,-0.17,1.03,-4.53,-0.7,-5.6
0.026,0.01,-0.16,0.99,-1.1,-1.4,-1.01
0.03,-0.07,-0.18,0.97,3.31,-2.14,-5.54
0.034,0.02,-0.15,0.97,5.18,-2.92,-5.6
0.039,-0.02,-0.15,0.98,3.56,0.84,-4.43
0.043,0.0,-0.14,0.99,2.55,0.26,-3.74
0.048,-0.03,-0.14,0.99,1.79,-0.38,-5.44
0.053,0.02,-0.14,0.98,4.55,0.27,-4.14
0.057,-0.03,-0.13,1.03,0.76,-0.06,-2.79
0.062,-0.01,-0.12,1.01,-1.94,0.5,-3.88
0.066,-0.01,-0.13,1.02,-4.2,1.66,-1.53
0.071,-0.01,-0.12,0.99,-4.56,1.74,-1.28
0.075,-0.03,-0.13,0.97,-4.64,0.6,-2.2
0.079,-0.0,-0.15,0.94,-3.31,5.1,-1.53
0.084,-0.08,-0.14,0.97,0.84,0.35,0.79
0.088,-0.07,-0.13,1.01,5.25,-4.72,-6.12
0.094,-0.02,-0.11,1.03,3.94,-6.73,0.64
0.098,-0.04,-0.08,1.1,-4.31,-6.75,7.04
0.103,-0.1,-0.08,1.07,-5.85,-8.38,11.39
0.107,-0.11,-0.05,1.03,-6.78,-10.26,8.52
0.11,-0.08,-0.03,1.03,-3.8,-14.89,11.3
0.113,-0.1,-0.0,0.99,1.37,-13.3,16.76
0.116,-0.19,0.01,1.05,6.14,-28.76,19.47
0.118,-0.17,0.03,1.05,6.92,-32.72,20.73
0.12,-0.13,0.03,1.03,3.77,-40.46,23.24
0.122,-0.05,0.01,0.97,-1.5,-28.56,25.98
0.124,-0.2,0.05,1.06,-4.0,-26.27,24.64
0.125,-0.13,0.06,1.05,2.7,-36.69,21.5
0.127,-0.08,0.07,1.15,1.4,-36.98,32.32
0.129,-0.11,0.04,1.11,-3.19,-37.53,35.59
0.131,-0.2,-0.03,1.1,0.64,-34.23,33.95
0.133,-0.23,-0.05,1.06,-12.63,-30.73,33.18
0.135,-0.18,-0.15,0.97,-2.43,-26.17,14.32
0.137,-0.1,-0.2,1.03,-8.75,-18.46,11.28
0.139,-0.2,-0.18,1.02,-4.46,-19.16,6.11
0.141,-0.19,-0.15,1.08,-3.08,-24.53,3.97
0.142,-0.12,-0.15,0.99,1.57,-28.52,2.4
0.144,-0.17,-0.21,1.02,11.57,-38.7,-8.18
0.146,-0.08,-0.16,0.94,20.14,-42.32,-13.44
0.149,-0.14,-0.15,0.91,25.27,-49.51,-21.15
0.15,-0.17,-0.15,0.93,30.12,-53.88,-43.28
0.152,-0.04,-0.13,0.93,24.4,-52.85,-60.64
0.154,0.14,-0.03,0.97,13.48,-43.27,-65.22
0.156,0.17,0.07,0.93,1.4,-21.97,-52.69
0.158,0.1,0.01,0.86,2.47,-24.44,-49.4
0.159,0.1,-0.03,0.9,9.79,-26.06,-54.47
0.161,0.09,0.03,0.88,15.13,-34.67,-58.64
0.163,0.11,0.09,0.92,14.17,-56.66,-68.6
0.165,0.22,0.09,0.95,3.94,-67.53,-64.41
0.167,0.19,0.05,1.0,0.73,-59.18,-68.63
0.169,0.24,0.12,0.99,-16.15,-52.53,-80.96
0.171,0.47,0.21,0.91,-27.01,-52.66,-73.24
0.173,0.47,0.17,0.84,-31.92,-38.03,-59.21
0.175,0.37,0.06,0.79,-22.56,-27.94,-56.02
0.177,0.39,0.04,0.83,-19.08,-30.67,-67.08
0.178,0.34,0.16,0.84,-24.09,-25.01,-82.08
0.18,0.43,0.14,0.85,-19.15,-48.98,-94.52
0.182,0.65,0.09,0.78,-24.98,-29.89,-87.48
0.184,0.58,-0.04,0.79,-14.47,-12.53,-88.76
0.186,0.6,-0.04,0.91,-18.46,12.29,-94.11
0.188,0.71,0.04,0.97,-7.82,25.19,-74.34
