timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.002,0.32,-0.1,0.9,-5.85,3.39,-8.08
0.004,0.37,-0.1,0.92,-11.27,5.01,-11.3
0.006,0.36,-0.12,0.92,-14.6,1.68,-16.53
0.007,0.33,-0.14,0.94,-16.27,0.55,-18.17
0.009,0.34,-0.14,0.96,-13.36,6.82,-7.74
0.01,0.32,-0.15,0.96,-9.69,7.37,-9.91
0.012,0.32,-0.13,0.94,-7.28,-0.08,-8.6
0.013,0.35,-0.12,0.94,-5.86,3.39,-5.33
0.014,0.36,-0.14,0.94,-4.96,1.31,-6.58
0.016,0.38,-0.13,0.94,-4.4,1.73,-6.02
0.017,0.38,-0.13,0.93,-4.26,7.83,-8.17
0.018,0.36,-0.12,0.92,-5.53,4.87,-9.97
0.019,0.37,-0.11,0.93,-7.76,1.21,-10.03
0.02,0.38,-0.16,0.97,-9.63,-1.51,-9.08
0.022,0.4,-0.18,0.98,-7.62,3.77,-14.38
0.023,0.35,-0.2,0.97,-4.63,3.89,-18.67
0.024,0.27,-0.21,0.96,-1.47,2.82,-14.93
0.025,0.22,-0.21,0.96,1.89,5.6,-15.3
0.027,0.11,-0.19,0.97,3.07,0.26,-13.34
0.028,0.09,-0.11,0.97,7.36,2.87,-7.1
0.029,0.2,-0.12,0.95,7.48,15.44,-13.66
0.03,0.25,-0.16,0.96,9.04,32.24,-31.77
0.031,-0.07,-0.22,1.03,11.76,-3.07,7.51
0.032,0.2,-0.25,1.04,15.6,-16.46,-7.47
0.033,0.33,-0.18,0.98,22.87,-7.6,-26.14
0.034,0.21,-0.14,0.88,27.01,69.5,-43.57
0.035,0.04,-0.18,0.98,18.78,42.72,-27.51
0.036,0.09,-0.19,1.08,22.41,21.63,-20.17
0.036,0.16,-0.08,1.03,32.0,-19.66,-25.27
0.037,0.22,0.01,0.92,22.84,-18.53,-14.09
0.038,0.23,0.01,0.93,12.98,8.08,0.03
0.039,0.13,-0.07,1.05,8.32,-13.82,22.76
0.04,0.2,-0.11,1.07,16.03,-33.07,35.28
0.041,0.27,-0.12,1.03,26.76,-41.5,36.73
0.042,0.34,-0.06,0.91,23.69,-26.56,37.02
0.043,0.32,-0.09,0.92,21.19,-16.84,40.73
0.044,0.3,-0.12,0.9,18.49,-14.89,54.11
0.044,0.35,-0.14,0.92,13.1,6.06,74.32
0.045,0.37,-0.15,0.93,15.62,11.42,80.05
0.046,0.39,-0.13,0.9,13.1,7.25,83.18
0.047,0.43,-0.09,0.86,2.78,4.06,88.67
0.048,0.49,-0.06,0.84,-1.66,10.58,81.37
0.048,0.5,-0.05,0.82,-4.18,20.08,67.47
0.049,0.4,-0.07,0.87,-6.76,20.34,62.75
0.05,0.36,-0.08,0.92,2.34,19.59,74.85
0.051,0.4,-0.07,0.92,5.94,24.24,82.82
0.052,0.42,-0.04,0.93,8.76,3.42,71.68
0.052,0.41,-0.0,0.92,11.57,-3.95,67.07
0.053,0.4,0.05,0.9,12.66,-2.75,69.59
0.054,0.44,0.06,0.89,4.73,-0.89,73.05
0.055,0.49,0.05,0.91,-0.76,-0.14,66.85
0.055,0.5,0.05,0.95,-0.38,2.21,57.37
0.056,0.47,0.08,0.95,7.63,6.95,39.59
0.057,0.41,0.12,0.93,9.22,4.56,34.03
0.058,0.38,0.15,0.91,7.13,4.27,32.11
0.059,0.38,0.15,0.9,4.64,4.5,32.37
0.059,0.42,0.1,0.92,1.59,7.63,30.08
0.06,0.43,0.07,0.96,2.61,9.28,23.36
0.061,0.41,0.07,0.94,5.74,4.67,10.31
0.062,0.39,0.1,0.92,3.83,0.61,4.03
0.063,0.39,0.09,0.92,0.7,0.02,2.09
0.063,0.38,0.03,0.97,0.84,8.95,-2.34
0.064,0.36,0.01,0.98,7.76,8.58,-4.58
0.065,0.35,0.01,0.96,10.06,11.11,-7.66
0.066,0.33,-0.0,0.96,16.46,5.83,-12.15
0.067,0.33,-0.01,0.93,18.87,2.18,-16.58
0.067,0.31,-0.01,0.9,18.49,-0.5,-20.02
0.068,0.28,0.02,0.89,18.24,5.13,-22.12
0.069,0.24,-0.1,1.0,1.69,17.91,18.05
0.082,0.25,-0.11,1.0,2.76,12.93,8.32
0.105,0.23,-0.1,0.99,5.73,3.11,4.7
0.127,0.22,-0.08,0.94,7.21,5.85,4.14
0.15,0.22,-0.07,0.93,2.95,3.66,4.46
