timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,0.2,0.29,0.91,-2.58,7.82,0.92
0.002,0.21,0.29,0.92,-5.48,4.09,-0.11
0.003,0.19,0.27,0.91,-4.96,6.58,1.95
0.004,0.17,0.26,0.91,-3.71,12.99,2.53
0.005,0.18,0.25,0.91,-5.37,8.87,-0.12
0.006,0.2,0.3,0.91,-5.1,3.47,-1.34
0.007,0.18,0.28,0.92,-3.97,4.06,-0.66
0.007,0.17,0.27,0.94,-4.79,15.18,2.95
0.008,0.16,0.27,0.92,-5.07,15.59,0.82
0.009,0.17,0.23,0.89,-3.24,9.71,0.55
0.01,0.19,0.25,0.88,-3.6,11.16,-0.47
0.011,0.17,0.28,0.89,-4.99,8.79,-1.48
0.012,0.17,0.28,0.9,-4.18,7.11,-2.34
0.013,0.12,0.27,0.9,-5.47,15.42,0.7
0.014,0.1,0.24,0.89,-6.17,17.34,0.64
0.015,0.14,0.23,0.87,-7.25,9.02,-1.07
0.015,0.16,0.24,0.83,-4.58,-6.67,-4.34
0.016,0.18,0.26,0.8,0.32,-12.52,-6.09
0.017,0.17,0.25,0.8,0.06,-12.98,-6.75
0.018,0.19,0.23,0.8,-2.53,-14.05,-8.66
0.019,0.23,0.17,0.81,-3.11,-15.44,-7.8
0.02,0.25,0.06,0.82,-2.18,-13.51,-7.31
0.021,0.31,0.08,0.79,4.12,-16.11,-10.75
0.022,0.31,0.1,0.74,8.53,-17.56,-20.17
0.023,0.18,0.04,0.73,10.85,-13.82,-28.27
0.024,0.19,0.12,0.76,9.07,-4.26,-30.6
0.024,0.3,0.23,0.71,7.77,-8.5,-29.1
0.025,0.24,0.28,0.68,13.15,-10.17,-30.43
0.026,0.13,0.16,0.68,-1.31,5.56,-24.26
0.027,0.09,0.18,0.77,-3.98,24.61,-20.52
0.028,0.21,0.2,0.88,-11.56,22.06,-14.55
0.028,0.17,0.16,0.9,-7.53,5.85,-11.95
0.029,0.02,0.14,0.91,-2.06,23.36,-22.23
0.03,0.13,0.25,0.92,1.69,26.99,-22.73
0.031,0.18,0.22,0.93,-11.51,7.34,-8.5
0.032,0.13,0.22,0.9,-0.69,15.22,-17.47
0.032,0.06,0.3,0.85,2.4,21.77,-25.02
0.033,0.13,0.37,0.78,-9.07,-3.65,-24.26
0.034,0.11,0.39,0.78,-17.27,6.21,-20.7
0.035,0.09,0.26,0.78,-27.54,6.87,-13.45
0.035,0.18,0.39,0.69,-14.63,-20.05,-31.65
0.036,0.11,0.48,0.67,-10.31,-13.63,-38.47
0.037,-0.02,0.31,0.87,-28.93,14.15,-36.18
0.038,0.09,0.24,0.79,-24.64,-25.04,-8.78
0.039,0.14,0.42,0.74,5.11,9.95,5.65
0.039,-0.04,0.34,0.98,-9.86,31.1,11.42
0.04,-0.09,0.23,1.05,-39.37,11.8,-0.5
0.041,-0.2,0.22,1.01,-46.18,7.18,-13.68
0.042,0.06,0.35,0.85,-50.78,-26.34,-10.41
0.043,0.28,0.23,0.85,-64.41,-74.55,11.83
0.044,0.36,0.07,0.87,-55.45,-72.64,5.83
0.044,0.38,-0.02,0.94,-42.93,-83.31,1.62
0.045,0.27,-0.16,1.19,-80.52,-41.07,11.91
0.046,0.2,-0.16,1.16,-64.53,-12.11,16.89
0.047,0.17,0.07,0.95,-44.52,-6.44,10.32
0.048,0.26,0.08,0.98,-65.45,-66.31,8.34
0.048,0.34,-0.1,1.11,-72.26,-89.71,8.72
