timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,0.1,-0.97,-0.14,0.66,0.92,4.29
0.002,0.14,-0.97,-0.16,1.24,1.59,5.88
0.004,0.14,-0.98,-0.15,-1.4,2.89,3.24
0.005,0.12,-1.0,-0.13,0.52,0.73,2.41
0.007,0.13,-0.99,-0.15,1.63,3.69,4.0
0.008,0.13,-0.99,-0.15,0.37,3.37,2.63
0.009,0.12,-1.0,-0.13,2.52,2.5,2.09
0.011,0.12,-1.01,-0.14,3.22,4.29,2.02
0.012,0.11,-0.99,-0.15,2.37,0.34,2.75
0.013,0.12,-0.99,-0.15,0.7,3.16,1.37
0.014,0.11,-1.0,-0.14,2.06,1.4,1.3
0.015,0.12,-0.99,-0.14,4.09,3.54,1.36
0.016,0.12,-0.97,-0.15,2.05,4.32,0.24
0.018,0.11,-0.98,-0.13,2.31,1.88,0.15
0.019,0.11,-0.98,-0.13,4.12,0.43,1.05
0.02,0.11,-0.98,-0.15,3.8,-0.9,1.73
0.021,0.11,-0.97,-0.15,1.22,-4.76,2.24
0.022,0.1,-0.99,-0.13,3.18,-6.4,3.05
0.023,0.14,-1.0,-0.15,3.68,-0.96,2.38
0.024,0.14,-0.98,-0.14,3.73,1.27,-0.64
0.025,0.12,-0.99,-0.12,4.63,-0.64,-2.06
0.026,0.1,-0.99,-0.14,5.91,1.37,-0.63
0.027,0.11,-0.97,-0.15,4.55,-0.55,2.08
0.028,0.13,-0.97,-0.16,1.5,-0.98,1.33
0.029,0.13,-0.99,-0.13,1.89,-0.44,-0.2
0.03,0.11,-1.0,-0.13,4.66,2.67,-0.17
0.031,0.11,-0.99,-0.15,4.55,2.72,0.79
0.032,0.1,-1.0,-0.13,5.13,1.42,2.31
0.033,0.11,-1.02,-0.11,9.36,-0.82,3.97
0.034,0.12,-1.03,-0.11,14.72,-1.71,3.89
0.035,0.1,-1.01,-0.03,28.0,-6.5,3.59
0.036,0.1,-1.05,-0.04,39.47,-6.87,4.21
0.037,0.09,-1.07,0.0,57.47,-11.01,7.21
0.038,0.12,-1.06,-0.0,73.4,-3.59,7.59
0.039,0.13,-1.06,0.01,87.94,-1.07,3.59
0.04,0.12,-1.07,0.03,96.85,-6.05,-2.47
0.041,0.03,-1.16,0.21,113.02,-18.46,-6.4
0.042,0.02,-1.18,0.26,145.97,-21.8,6.67
0.043,-0.0,-1.17,0.27,171.51,-15.27,24.15
0.043,0.01,-1.15,0.28,179.66,-18.96,43.19
0.044,0.06,-1.08,0.18,173.45,-12.44,54.05
0.045,0.04,-1.08,0.24,172.41,-16.72,54.7
0.046,0.08,-1.07,0.33,181.66,-10.99,55.77
0.047,0.1,-1.05,0.4,186.27,0.47,50.18
0.048,0.06,-1.03,0.45,195.88,-18.89,42.31
0.048,0.1,-0.94,0.45,193.8,-10.61,34.5
0.049,0.1,-0.91,0.52,187.21,3.92,26.32
0.05,0.06,-0.85,0.52,175.5,17.24,14.92
0.051,0.04,-0.78,0.62,167.22,18.15,13.08
0.052,-0.01,-0.74,0.66,163.24,2.7,6.38
0.052,-0.06,-0.71,0.78,163.77,-24.76,3.92
0.053,-0.0,-0.67,0.76,172.32,-26.29,5.47
0.054,-0.05,-0.62,0.8,168.93,-19.95,6.09
0.055,-0.1,-0.54,0.83,156.32,-30.79,9.95
0.056,-0.01,-0.48,0.81,158.67,-24.37,10.82
0.056,0.05,-0.45,0.83,142.46,-15.3,5.04
0.057,-0.02,-0.4,0.87,135.91,-19.4,3.22
0.058,-0.01,-0.34,0.85,129.5,-15.8,7.37
0.059,0.02,-0.27,0.88,121.16,-7.65,9.69
0.06,0.01,-0.25,0.93,113.59,-17.85,10.66
0.061,0.0,-0.24,0.98,114.61,-22.5,11.42
0.061,0.06,-0.17,0.91,115.47,-4.29,12.76
0.062,0.06,-0.08,0.86,105.28,8.21,8.92
0.063,0.02,-0.03,0.93,89.77,-6.72,9.18
0.064,0.06,-0.02,0.91,79.28,-13.56,7.01
0.064,-0.01,-0.02,0.91,71.92,-16.06,9.18
0.065,0.04,0.0,0.89,62.49,-4.73,14.41
0.066,0.07,0.06,0.89,50.72,1.34,15.98
0.067,0.1,0.09,0.89,34.08,9.31,10.15
0.067,-0.02,-0.04,1.03,26.05,-8.69,8.41
0.068,0.05,-0.05,1.11,45.57,-17.1,18.63
0.069,0.16,0.07,0.99,45.65,12.02,13.69
0.07,0.1,0.09,0.97,54.27,10.96,6.02
0.071,0.1,0.15,0.96,40.58,-6.52,4.14
0.071,0.12,0.15,0.93,26.6,-2.23,-0.49
0.072,0.08,0.09,1.0,22.43,3.56,1.73
0.073,0.1,0.09,0.99,22.75,11.73,4.32
0.074,0.08,0.14,0.96,18.5,10.32,1.56
0.074,0.06,0.15,0.93,11.01,2.95,-2.06
0.075,-0.05,0.06,1.02,5.04,-7.88,4.14
0.076,0.03,0.05,1.01,14.2,0.02,13.48
0.077,0.09,0.12,1.0,16.9,10.44,10.78
0.077,0.07,0.18,0.94,9.68,6.92,2.18
0.078,0.03,0.2,0.98,-0.75,-5.66,-0.49
0.079,0.02,0.12,1.02,-3.31,-6.69,1.22
0.08,0.04,0.13,1.01,-2.87,-7.65,1.16
0.08,0.03,0.12,1.03,-9.63,-4.72,1.83
0.094,0.05,0.09,1.03,-5.88,-5.68,2.27
0.113,0.04,0.08,1.07,-6.06,-7.77,3.6
0.136,0.06,0.07,1.03,-1.82,-4.24,2.63
0.155,0.07,0.09,1.02,-1.25,-2.9,1.53
0.173,0.07,0.09,1.0,-2.46,-2.35,0.76
0.197,0.08,0.09,1.0,-6.0,-4.6,0.24
0.215,0.08,0.08,1.0,-8.15,-1.71,-0.63
0.234,0.07,0.05,1.05,-2.61,-10.29,0.34
0.258,0.09,0.08,1.0,0.6,-2.89,0.82
0.274,0.08,0.07,1.01,-4.64,1.1,1.31
0.294,0.09,0.08,0.99,-2.26,-2.87,-0.17
0.317,0.1,0.11,0.98,-6.18,1.47,-0.14
0.336,0.09,0.09,0.99,-9.83,3.51,-2.27
0.354,0.09,0.08,0.99,-8.95,-4.17,-4.32
0.373,0.07,0.04,1.04,-7.77,0.24,-4.06
0.396,0.06,0.01,1.07,0.06,-7.83,-2.21
0.415,0.08,0.06,1.01,5.79,3.11,-1.34
0.434,0.06,0.05,1.05,-0.29,3.04,-1.4
0.458,0.07,0.06,1.03,3.56,-7.01,-1.95
0.476,0.07,0.09,1.01,-1.59,2.81,-1.79
0.494,0.05,0.06,1.06,-1.65,0.67,-1.83
0.513,0.07,0.06,1.02,3.8,-5.86,-2.96
0.537,0.08,0.1,1.0,-0.6,2.58,-2.29
0.555,0.06,0.08,1.02,-2.17,0.08,-3.88
0.573,0.08,0.08,1.0,1.39,-7.74,-4.31
0.597,0.08,0.1,0.99,-2.78,0.85,-4.21
0.616,-0.02,0.09,1.1,0.09,-11.36,-1.21
0.634,0.05,0.06,1.02,3.59,-13.71,-1.37
0.657,0.09,0.05,1.01,0.29,-2.87,-0.66
0.676,0.08,0.05,1.04,1.8,0.38,-0.11
0.694,0.07,0.07,1.01,0.67,-0.37,-0.24
0.718,0.06,0.09,1.02,-0.46,-2.24,0.44
0.736,0.08,0.08,1.02,-1.59,-0.75,0.76
0.754,0.07,0.07,1.02,-0.43,-3.45,1.76
0.773,0.08,0.06,1.03,-0.34,-2.2,1.3
0.797,0.08,0.06,1.02,1.21,-1.45,1.66
0.814,0.07,0.06,1.01,-0.64,0.15,2.17
0.834,0.08,0.06,1.02,-1.4,0.99,1.8
0.854,0.08,0.06,1.01,-1.19,0.52,2.0
0.874,0.08,0.06,1.03,0.76,-1.5,2.38
0.894,0.09,0.05,1.01,2.35,-2.03,1.57
0.914,0.09,0.06,1.02,0.73,-2.66,1.94
0.934,0.1,0.05,1.02,2.08,-0.81,1.97
0.954,0.09,0.05,1.02,1.73,-0.32,1.79
0.974,0.09,0.05,1.01,2.84,-3.95,2.08
