timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.003,0.98,-0.21,0.24,-16.56,4.31,-7.05
0.011,0.99,-0.21,0.21,-18.63,4.06,-8.76
0.019,1.02,-0.21,0.19,-16.03,7.04,-6.89
0.024,1.01,-0.22,0.24,-15.02,11.45,-2.55
0.028,1.01,-0.22,0.25,-14.79,13.47,0.14
0.036,0.99,-0.23,0.27,-18.34,14.6,1.1
0.041,0.98,-0.25,0.24,-18.99,8.58,0.14
0.046,0.97,-0.26,0.25,-21.25,5.56,-1.53
0.05,0.93,-0.26,0.28,-27.16,5.88,-5.76
0.054,0.97,-0.25,0.24,-34.84,2.15,-13.97
0.059,0.95,-0.26,0.25,-37.94,1.6,-15.59
0.065,0.95,-0.26,0.2,-37.28,2.66,-18.67
0.07,0.99,-0.23,0.17,-38.08,12.53,-20.64
0.075,1.02,-0.22,0.11,-27.19,18.44,-16.84
0.079,1.04,-0.21,0.12,-12.99,17.88,-10.14
0.084,1.02,-0.21,0.18,-4.96,18.85,-5.04
0.088,0.97,-0.2,0.28,-8.92,20.02,-6.67
0.093,1.02,-0.2,0.31,-18.38,23.94,-9.05
0.097,0.97,-0.19,0.33,-25.28,23.11,-10.32
0.102,0.96,-0.19,0.32,-31.91,18.11,-16.02
0.106,0.94,-0.18,0.32,-40.61,16.73,-24.89
0.109,0.92,-0.17,0.36,-49.89,18.66,-35.24
0.111,0.94,-0.18,0.43,-61.42,32.55,-43.16
0.113,0.9,-0.17,0.51,-81.76,44.98,-58.61
0.115,0.98,-0.14,0.47,-100.08,57.27,-69.79
0.117,0.95,-0.1,0.43,-112.11,61.01,-75.33
0.119,0.89,-0.08,0.42,-121.45,34.23,-84.61
0.121,0.97,-0.04,0.31,-134.23,11.59,-92.06
0.123,1.05,-0.04,0.31,-131.59,11.76,-88.15
0.126,1.12,-0.01,0.42,-137.73,44.31,-80.67
0.127,1.05,0.02,0.61,-159.77,71.86,-81.89
0.129,1.05,0.04,0.58,-199.33,71.95,-96.67
0.132,0.99,0.08,0.42,-233.51,59.92,-102.96
0.134,0.88,0.09,0.42,-234.37,-15.21,-90.69
0.136,1.08,0.08,0.21,-232.26,0.56,-78.41
0.138,1.07,0.07,0.21,-214.34,4.32,-66.84
0.14,1.16,0.04,0.34,-212.55,55.82,-54.75
0.142,1.1,0.03,0.37,-207.71,118.58,-38.31
0.144,0.93,0.01,0.35,-195.82,122.67,-39.77
0.146,0.8,-0.04,0.36,-199.22,101.63,-50.66
0.148,0.81,-0.1,0.25,-203.01,96.56,-67.79
0.15,0.74,-0.13,0.35,-201.63,108.38,-87.1
0.152,0.87,-0.14,0.33,-199.01,158.72,-105.39
0.154,0.76,-0.15,0.45,-191.62,202.17,-119.79
0.156,0.82,-0.18,0.44,-180.9,228.11,-138.67
0.158,0.94,-0.17,0.45,-143.85,233.51,-127.65
0.16,0.95,-0.17,0.54,-100.14,229.63,-98.2
0.162,0.79,-0.13,0.57,-51.6,173.33,-75.69
0.164,0.75,-0.13,0.66,-13.15,109.79,-57.11
0.166,0.59,-0.13,0.92,-45.04,102.53,-62.24
0.168,0.64,-0.08,0.82,-69.94,104.61,-73.63
0.17,0.81,-0.1,0.73,-52.23,87.27,-63.04
0.172,0.82,-0.06,0.82,-31.74,75.6,-27.22
0.174,0.66,-0.13,0.88,-31.13,76.81,-12.12
0.176,0.46,-0.19,0.89,-32.15,13.88,-10.03
0.178,0.52,-0.21,0.8,-27.02,-37.28,-13.92
0.18,0.64,-0.19,0.81,-32.92,-24.37,-7.77
0.182,0.56,-0.2,0.78,-34.52,-9.15,-15.88
0.184,0.6,-0.2,0.79,-16.38,3.8,-18.78
0.187,0.63,-0.19,0.84,-7.97,14.82,-9.01
0.189,0.59,-0.22,0.83,-2.32,-2.08,-5.13
0.191,0.49,-0.22,0.89,7.02,-40.34,1.16
0.193,0.5,-0.21,1.01,-12.21,-39.65,-9.07
0.195,0.62,-0.21,0.85,-24.84,-39.89,-11.98
0.197,0.65,-0.23,0.7,-9.97,-32.38,-8.76
0.199,0.63,-0.2,0.65,17.31,-37.63,-10.32
0.201,0.71,-0.19,0.73,28.03,-29.01,-12.46
0.203,0.62,-0.17,0.77,23.04,-21.98,-23.13
0.204,0.65,-0.17,0.88,15.25,-17.83,-24.75
0.206,0.64,-0.15,0.84,10.12,-42.4,-22.81
0.208,0.66,-0.13,0.88,10.41,-69.66,-13.3
0.21,0.7,-0.16,0.82,18.44,-114.47,-6.46
0.212,0.72,-0.18,0.74,38.87,-147.13,4.92
0.214,0.71,-0.17,0.64,57.5,-169.91,15.69
0.216,0.72,-0.17,0.65,60.52,-176.89,18.26
0.218,0.66,-0.17,0.76,33.82,-186.23,5.69
0.219,0.68,-0.16,0.66,6.49,-165.48,-13.68
0.221,0.75,-0.13,0.59,2.18,-157.33,-22.87
0.223,0.83,-0.1,0.47,16.61,-150.38,-29.31
0.225,1.09,-0.1,0.17,47.21,-147.91,-19.01
0.227,1.16,-0.1,0.19,83.1,-144.79,19.01
0.229,0.83,-0.09,0.51,42.84,-173.95,30.0
0.231,0.83,-0.11,0.28,8.34,-195.62,8.53
0.233,0.98,-0.1,0.19,-8.06,-157.18,-6.05
0.235,1.08,-0.07,0.1,-12.15,-125.07,-6.64
0.237,1.07,-0.07,0.15,-19.15,-96.08,-1.56
0.239,1.09,-0.09,-0.07,-21.65,-44.61,-5.69
0.241,1.13,-0.12,-0.13,-11.82,13.53,-5.91
0.243,1.03,-0.09,-0.11,-2.79,9.47,-14.89
0.245,1.02,-0.09,-0.04,16.43,-14.52,-16.0
0.246,1.02,-0.04,0.1,7.76,-13.5,-16.11
0.249,1.15,-0.01,0.15,-2.95,-5.02,-13.91
0.251,1.24,-0.03,0.02,-9.92,13.77,-0.99
0.252,1.1,-0.02,-0.12,-11.22,29.33,3.33
0.254,1.05,-0.09,-0.06,13.65,-8.49,8.76
0.256,0.95,-0.14,-0.05,49.5,-25.33,9.73
0.258,0.88,-0.1,0.25,38.0,-63.54,-4.44
0.26,1.0,-0.03,0.21,19.73,-61.39,-12.58
0.261,1.12,-0.01,0.21,-18.18,-13.1,-21.6
0.263,1.15,0.03,0.15,-57.16,24.34,-23.42
0.266,1.26,-0.02,-0.0,-55.02,63.42,-6.64
0.268,1.05,-0.11,0.01,-30.6,63.95,10.93
0.27,0.84,-0.16,-0.07,4.21,17.92,11.79
0.272,0.83,-0.16,-0.0,18.2,-24.14,-6.84
0.274,1.04,-0.12,0.01,23.4,-38.98,-9.94
0.275,1.08,-0.04,0.12,-4.72,-21.65,-11.8
0.277,1.13,0.0,0.05,-16.44,15.71,-10.2
0.279,1.16,0.01,0.0,-13.6,58.0,-3.65
0.281,1.16,-0.03,-0.0,-4.29,91.22,4.15
0.283,1.02,-0.04,0.09,-5.47,107.04,9.95
0.285,0.91,-0.05,0.29,-27.74,37.76,-7.47
0.287,0.96,-0.1,0.12,-23.05,-3.11,-8.14
0.289,1.06,-0.09,0.08,-10.7,-15.02,-2.93
0.291,1.08,-0.07,0.11,-5.53,-12.47,-0.02
0.292,0.98,-0.07,0.26,-11.69,-16.38,-2.4
0.294,0.99,-0.06,0.19,-21.68,4.23,-4.99
0.296,0.95,-0.05,0.23,-33.48,13.27,-12.58
0.298,1.03,-0.05,0.17,-47.42,0.7,-19.89
0.3,1.05,-0.07,0.09,-35.05,0.63,-15.56
0.302,0.99,-0.06,0.19,-36.14,-54.72,-28.64
0.304,1.05,-0.08,0.03,-16.99,-57.66,-23.5
0.306,1.11,-0.06,0.02,-0.27,-23.82,-9.04
0.308,1.11,-0.05,0.03,10.56,13.3,2.49
0.31,1.05,-0.03,0.09,14.5,23.45,4.55
0.312,0.99,-0.01,0.14,3.24,13.69,0.72
0.313,1.07,-0.02,0.11,5.18,2.12,-5.56
0.316,1.08,-0.02,0.11,5.92,3.59,-0.5
0.318,1.04,-0.02,0.16,-0.78,-11.05,-4.56
0.32,1.0,-0.03,0.2,-11.13,-29.63,-7.25
0.321,1.01,-0.05,0.17,-16.98,-40.43,-7.62
0.323,1.03,-0.03,0.1,-23.8,-49.97,-10.37
0.325,1.05,-0.05,0.01,-14.34,-35.91,-2.47
0.327,0.96,-0.04,0.03,-18.96,-44.27,-10.41
0.329,0.94,-0.04,0.1,-29.47,-47.33,-17.62
0.331,1.05,-0.04,0.01,-30.05,-37.37,-17.8
0.333,1.03,-0.03,0.05,-33.22,-35.01,-16.35
0.335,1.09,-0.03,-0.02,-29.68,-27.31,-12.14
0.337,1.03,-0.01,0.07,-33.48,-31.13,-11.62
0.338,1.07,-0.01,0.04,-37.86,-26.66,-8.46
0.34,1.08,0.02,-0.01,-46.73,-25.1,-7.53
0.342,1.03,0.0,0.05,-56.02,-34.17,-8.7
0.344,1.07,0.02,-0.05,-61.16,-37.19,-7.68
0.346,1.04,0.01,-0.06,-57.16,-37.04,-7.18
0.348,1.03,0.01,-0.02,-50.6,-32.5,-5.3
0.35,1.01,0.02,-0.04,-49.19,-42.26,-7.79
0.352,1.07,0.01,-0.12,-36.17,-34.06,-5.48
0.354,1.13,0.01,-0.18,-32.52,-17.66,3.51
0.355,1.05,0.03,-0.16,-29.51,-6.0,8.93
0.358,1.04,0.02,-0.17,-24.08,-0.27,10.63
0.359,1.0,0.01,-0.17,-24.21,-3.1,9.83
0.361,1.0,-0.01,-0.14,-24.34,-14.69,6.05
0.363,1.0,-0.03,-0.23,-16.96,-18.08,3.83
0.365,0.99,-0.04,-0.2,-13.39,-21.31,-1.27
0.367,1.0,-0.04,-0.22,-5.47,-19.8,-4.92
0.369,1.04,-0.02,-0.21,-5.48,-11.08,-7.18
0.371,1.03,-0.01,-0.27,-2.32,-0.03,-10.34
0.372,0.99,-0.02,-0.23,5.88,16.99,-12.52
0.375,1.02,0.0,-0.23,10.11,7.92,-15.73
0.377,0.98,0.01,-0.13,13.25,-0.2,-17.74
0.378,0.97,0.02,-0.08,2.69,-14.29,-22.47
0.38,1.04,0.04,-0.11,-0.63,-19.74,-24.58
0.382,1.09,0.05,-0.15,-0.82,-12.06,-20.2
0.384,1.06,0.06,-0.1,-2.99,-2.31,-12.21
0.386,1.03,0.05,-0.11,-8.63,-2.26,-8.52
0.388,1.0,0.06,-0.13,-12.09,0.27,-7.34
0.39,1.0,0.05,-0.18,-8.85,-1.57,-9.53
0.392,1.01,0.05,-0.22,-8.98,-6.27,-13.11
0.393,1.03,0.05,-0.21,-2.81,-2.55,-12.18
0.395,1.02,0.06,-0.15,-1.59,-0.95,-12.53
0.397,1.04,0.06,-0.09,-7.51,-11.91,-12.38
0.399,1.05,0.07,-0.12,-13.73,-14.43,-10.67
0.401,1.07,0.08,-0.15,-16.2,-9.68,-7.07
0.403,1.05,0.07,-0.17,-16.08,-4.92,-4.09
0.405,1.05,0.06,-0.23,-12.31,-8.03,-5.36
0.407,1.03,0.05,-0.26,-6.9,-2.64,-5.59
0.408,1.04,0.06,-0.3,2.37,6.31,-5.4
0.41,1.0,0.09,-0.18,4.52,-1.15,-6.61
0.412,1.03,0.09,-0.18,0.69,-16.52,-10.67
0.414,1.08,0.09,-0.22,4.55,-4.56,-5.88
0.416,1.04,0.11,-0.1,-7.77,-8.27,-6.11
0.418,1.09,0.1,-0.18,-6.37,-6.41,-1.28
