timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,-0.78,-0.2,-0.32,-6.31,9.86,-2.6
0.003,-0.82,-0.2,-0.29,-8.52,12.64,-4.76
0.005,-0.83,-0.24,-0.26,-12.81,7.07,-12.21
0.007,-0.8,-0.21,-0.34,-2.56,11.57,-7.18
0.008,-0.8,-0.22,-0.33,-2.15,4.09,-4.52
0.01,-0.8,-0.24,-0.3,-5.8,2.99,-3.97
0.011,-0.78,-0.25,-0.33,-0.5,3.76,-2.67
0.013,-0.78,-0.23,-0.33,5.42,0.69,-0.2
0.014,-0.81,-0.21,-0.33,1.34,9.25,-2.9
0.015,-0.79,-0.23,-0.33,-2.12,0.02,-7.08
0.017,-0.77,-0.24,-0.34,3.71,9.01,3.95
0.018,-0.78,-0.21,-0.38,3.68,23.08,3.82
0.019,-0.83,-0.18,-0.35,-7.28,-0.93,-8.21
0.02,-0.89,-0.18,-0.33,-6.95,-0.95,-4.47
0.021,-0.88,-0.19,-0.34,-4.81,-7.82,-4.23
0.023,-0.82,-0.23,-0.32,-3.94,-17.97,1.22
0.024,-0.79,-0.25,-0.3,-4.81,-22.27,3.63
0.025,-0.83,-0.27,-0.28,-7.56,-34.63,-1.39
0.026,-0.86,-0.26,-0.25,-5.8,-52.37,-10.31
0.027,-0.89,-0.19,-0.29,0.72,-62.55,-10.18
0.028,-0.93,-0.21,-0.23,3.53,-96.63,-16.82
0.029,-0.93,-0.23,-0.2,10.06,-131.37,-19.92
0.03,-1.0,-0.27,-0.14,18.79,-142.46,-16.15
0.032,-0.85,-0.27,-0.14,28.21,-170.29,-7.4
0.033,-0.8,-0.31,0.03,37.54,-183.56,7.68
0.034,-0.9,-0.27,0.06,64.58,-205.91,-2.15
0.034,-0.88,-0.23,0.09,56.92,-235.45,-9.36
0.035,-0.62,-0.27,0.27,47.31,-258.84,10.93
0.036,-0.52,-0.27,0.38,40.32,-258.7,2.87
0.037,-0.51,-0.33,0.69,30.61,-260.9,-22.55
0.038,-0.41,-0.35,0.71,18.75,-261.34,-47.6
0.039,-0.35,-0.19,0.52,42.26,-255.57,-62.52
0.04,-0.33,-0.21,0.71,42.37,-201.66,-55.57
0.041,-0.2,-0.2,0.77,30.02,-214.17,-47.65
0.042,-0.27,-0.19,0.85,33.73,-177.53,-28.81
0.043,-0.08,-0.21,0.88,21.86,-163.08,0.64
0.043,0.1,-0.18,0.83,14.49,-185.08,20.99
0.044,0.16,-0.17,0.86,16.9,-164.47,23.27
0.045,0.19,-0.18,0.89,18.84,-131.85,22.32
0.046,0.18,-0.16,0.94,13.6,-116.18,19.63
0.047,0.18,-0.15,0.94,9.65,-103.42,23.59
0.048,0.32,-0.14,0.93,16.24,-114.81,27.69
0.048,0.46,-0.13,0.89,23.27,-130.31,27.11
0.049,0.46,-0.14,0.91,13.37,-99.91,30.95
0.05,0.43,-0.15,0.92,3.39,-32.18,26.89
0.051,0.48,-0.14,0.91,4.79,-24.93,18.92
0.052,0.4,-0.15,0.93,1.42,-14.03,8.9
0.052,0.38,-0.15,0.95,-1.82,4.64,7.82
0.053,0.37,-0.15,0.91,-1.56,8.72,11.36
0.054,0.38,-0.13,0.91,-1.3,0.49,7.02
0.055,0.39,-0.15,0.92,-3.13,-8.38,5.77
0.056,0.35,-0.14,0.92,-2.47,-1.56,5.68
0.057,0.34,-0.16,0.95,-5.6,8.5,7.42
0.057,0.36,-0.14,0.93,-2.26,6.0,6.4
0.058,0.34,-0.14,0.92,-1.68,5.92,5.86
0.059,0.33,-0.13,0.93,-4.73,12.05,6.75
0.06,0.36,-0.14,0.92,-6.89,14.61,9.88
0.061,0.34,-0.15,0.92,-8.44,22.34,8.69
0.061,0.32,-0.15,0.93,-6.02,15.63,4.15
0.062,0.31,-0.16,0.94,-7.4,16.31,5.76
0.063,0.34,-0.17,0.94,-8.05,12.56,7.37
0.064,0.34,-0.17,0.95,-6.2,7.19,8.46
0.065,0.36,-0.18,0.93,-4.84,6.78,5.92
0.066,0.32,-0.18,0.93,-4.95,7.28,3.56
0.067,0.32,-0.18,0.92,-5.68,10.69,2.23
0.067,0.34,-0.17,0.92,-6.46,7.16,-1.18
0.068,0.26,-0.19,0.94,-7.54,7.54,-1.25
0.069,0.25,-0.18,0.95,-6.72,14.63,-0.96
0.086,0.23,-0.19,0.96,-6.37,21.37,2.98
0.11,0.26,-0.19,0.96,-2.75,32.53,18.18
0.136,0.27,-0.18,0.93,-0.15,37.68,19.63
0.159,0.23,-0.2,0.94,-1.77,47.44,11.89
0.186,0.19,-0.19,0.93,-2.82,57.74,12.34
0.209,0.14,-0.18,0.9,-3.54,67.44,3.27
0.236,0.11,-0.17,0.92,-5.63,65.8,2.61
0.259,0.06,-0.19,0.96,-7.37,63.86,5.57
