timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.009,-0.19,0.17,-0.97,-5.74,-2.21,-5.45
0.018,-0.22,0.17,-0.97,-6.49,-3.79,-4.26
0.027,-0.24,0.17,-0.99,-6.02,0.31,-3.68
0.033,-0.24,0.17,-1.02,-3.95,9.37,-3.51
0.037,-0.27,0.16,-0.98,-1.36,13.37,-6.12
0.04,-0.23,0.16,-0.95,-2.72,11.13,-9.3
0.042,-0.22,0.18,-0.98,-6.23,7.3,-10.41
0.043,-0.16,0.19,-1.01,-2.43,6.72,-5.13
0.046,-0.2,0.2,-0.95,-6.37,2.18,-1.94
0.048,-0.22,0.17,-1.02,-5.42,-0.69,-2.29
0.05,-0.19,0.18,-1.05,-0.85,-2.37,-4.02
0.052,-0.19,0.18,-1.0,0.6,-2.21,-3.01
0.054,-0.21,0.17,-0.98,-0.37,-4.5,-3.02
0.056,-0.18,0.19,-0.99,-2.0,-4.6,-3.47
0.058,-0.17,0.18,-1.02,-1.25,4.82,0.58
0.06,-0.2,0.18,-0.97,-0.64,7.54,2.55
0.062,-0.24,0.17,-0.99,-0.46,8.43,-0.34
0.064,-0.2,0.19,-0.98,-3.07,0.26,-4.7
0.066,-0.16,0.18,-1.02,-2.66,7.63,-1.79
0.068,-0.16,0.19,-1.05,0.06,16.49,0.41
0.07,-0.16,0.2,-1.05,2.35,22.17,1.98
0.073,-0.17,0.21,-1.07,5.16,28.18,2.47
0.074,-0.14,0.2,-1.1,8.31,44.81,5.83
0.076,-0.17,0.24,-1.17,15.04,65.25,9.68
0.078,-0.12,0.2,-1.18,21.51,80.23,11.79
0.08,-0.16,0.22,-1.2,30.53,88.44,8.78
0.082,-0.05,0.22,-1.27,38.95,106.32,9.24
0.085,0.04,0.24,-1.06,31.48,103.65,18.23
0.087,0.15,0.23,-1.06,17.3,116.78,36.12
0.088,0.15,0.2,-1.19,8.64,148.52,48.44
0.09,0.16,0.2,-1.32,9.51,191.44,53.47
0.093,0.18,0.22,-1.38,12.47,250.4,54.66
0.095,0.32,0.2,-1.44,23.33,310.41,62.81
0.097,0.39,0.19,-1.52,78.81,372.56,75.05
0.099,0.24,0.12,-1.07,77.6,321.8,60.81
0.101,0.34,0.05,-0.95,67.47,289.53,30.58
0.103,0.62,0.04,-1.03,51.83,289.83,19.65
0.105,0.83,0.11,-0.83,29.86,300.27,21.74
0.107,1.17,0.18,-0.87,7.98,355.51,58.82
0.109,1.11,0.16,-0.76,30.27,378.53,108.76
0.111,0.89,0.0,-0.67,72.06,415.79,131.44
0.113,0.52,-0.17,-0.44,77.1,413.22,114.92
0.115,0.59,-0.28,-0.3,59.47,362.78,83.86
0.117,0.61,-0.2,-0.3,68.31,343.16,60.12
0.119,0.47,-0.33,0.48,44.98,252.02,17.15
0.121,0.94,-0.25,0.58,-17.13,218.14,23.94
0.123,1.19,-0.2,0.32,-84.43,283.57,51.22
0.125,0.9,-0.28,0.17,-96.03,347.97,76.37
0.127,0.78,-0.34,0.08,-72.58,359.63,98.43
0.129,0.45,-0.4,0.21,-30.38,299.45,99.08
0.131,0.24,-0.49,0.38,7.42,172.67,94.53
0.133,0.03,-0.62,0.55,6.58,172.67,53.82
0.135,0.17,-0.54,0.44,-9.44,244.24,33.4
0.137,0.16,-0.56,0.94,-17.53,271.19,18.99
0.139,0.27,-0.49,0.84,1.62,268.23,6.87
0.141,0.28,-0.43,0.75,20.11,249.05,13.77
0.143,0.2,-0.38,0.81,3.97,166.96,21.45
0.145,0.25,-0.35,0.83,-14.76,78.7,41.4
0.147,0.14,-0.35,0.92,-2.52,30.0,54.67
0.149,0.04,-0.41,0.94,5.18,19.31,42.56
0.151,-0.08,-0.51,1.01,38.69,-1.31,10.63
0.153,0.06,-0.41,0.96,38.79,13.15,-13.98
0.155,0.19,-0.39,0.98,20.46,79.45,-1.83
0.157,0.11,-0.36,1.04,12.82,42.0,0.75
0.159,0.08,-0.38,1.0,5.48,-19.36,-3.25
0.161,0.17,-0.38,0.9,-5.39,-22.5,-3.48
0.163,0.18,-0.4,0.79,1.45,-9.27,-1.13
0.165,0.15,-0.39,0.89,7.56,-6.67,0.84
0.167,0.19,-0.4,0.9,12.56,5.47,-2.17
0.169,0.14,-0.4,0.94,8.63,3.82,-5.07
0.171,0.18,-0.39,0.9,-0.17,-10.26,-8.38
0.173,0.18,-0.39,0.91,-3.79,-32.98,-9.33
0.175,0.22,-0.4,0.87,3.25,-28.7,-8.79
0.177,0.23,-0.39,0.88,10.18,-0.95,-6.4
0.179,0.22,-0.4,0.97,14.32,16.5,-4.64
0.181,0.26,-0.38,0.97,11.44,31.15,-1.47
0.183,0.23,-0.38,1.0,4.38,14.41,2.0
0.185,0.2,-0.38,0.97,-0.69,-14.12,1.88
0.187,0.22,-0.39,0.93,-0.6,-16.32,4.37
0.189,0.2,-0.39,0.91,2.52,-7.82,5.34
0.191,0.17,-0.39,0.93,6.11,-0.63,4.66
0.193,0.17,-0.39,1.02,0.92,2.0,2.27
0.195,0.16,-0.38,1.08,-10.93,1.11,1.28
0.196,0.19,-0.38,1.01,-17.34,-15.27,0.26
0.198,0.18,-0.38,0.92,-16.02,-35.22,2.46
0.201,0.18,-0.39,0.86,-11.97,-39.83,1.59
0.203,0.2,-0.4,0.82,-4.31,-21.51,-0.67
0.205,0.21,-0.39,0.82,2.24,-5.82,-1.28
0.207,0.18,-0.4,0.86,5.44,8.96,-2.98
0.209,0.2,-0.39,0.87,10.21,9.79,-4.15
0.21,0.21,-0.37,0.91,12.85,4.52,-3.15
0.212,0.2,-0.38,0.92,9.83,7.56,-2.55
0.214,0.21,-0.38,0.9,4.23,10.14,-2.29
0.216,0.18,-0.38,0.91,4.35,8.87,-3.07
0.218,0.18,-0.39,0.9,7.77,6.21,-5.05
0.22,0.19,-0.39,0.92,9.39,11.15,-6.02
0.222,0.21,-0.37,0.97,9.21,19.22,-3.07
0.224,0.17,-0.37,0.97,10.15,16.47,-3.36
0.226,0.19,-0.36,0.96,6.12,6.4,-1.69
0.228,0.19,-0.36,0.95,4.6,-5.01,-0.75
0.229,0.2,-0.36,0.93,2.35,-6.67,-0.4
0.231,0.23,-0.35,0.88,1.77,5.79,4.26
0.233,0.17,-0.35,0.9,5.95,4.84,2.26
0.235,0.17,-0.37,0.91,7.24,14.27,1.05
0.237,0.15,-0.36,0.95,3.82,25.28,1.57
0.239,0.15,-0.36,0.96,4.61,18.41,0.85
0.241,0.13,-0.37,0.96,4.18,9.34,-0.63
0.242,0.18,-0.37,1.01,-1.16,0.89,-1.57
0.244,0.19,-0.35,0.97,-4.89,3.48,-0.14
0.246,0.18,-0.34,0.96,-6.92,2.44,2.21
0.248,0.16,-0.35,0.94,-6.76,3.92,3.48
0.25,0.15,-0.36,0.93,-5.08,8.09,3.36
0.252,0.13,-0.34,0.95,-3.85,12.69,2.96
0.253,0.13,-0.36,0.96,-2.2,9.82,1.24
0.255,0.12,-0.36,0.94,-0.05,5.69,-0.35
0.257,0.15,-0.36,0.92,0.27,-5.11,-1.19
0.259,0.13,-0.36,0.96,0.2,-12.26,-1.69
0.261,0.16,-0.36,0.95,-0.63,-7.31,-2.44
0.263,0.17,-0.35,0.98,-2.18,-5.8,-1.33
0.264,0.13,-0.37,0.99,-0.35,-14.2,-0.63
0.266,0.1,-0.37,0.99,-2.44,-32.34,-5.45
0.268,0.15,-0.37,1.05,-6.17,-59.33,-4.96
0.27,0.13,-0.35,1.02,-9.54,-80.38,-7.71
0.272,0.12,-0.36,1.0,-10.7,-103.82,-14.99
0.274,0.18,-0.38,0.99,-9.18,-119.51,-24.96
0.276,0.22,-0.38,1.03,-1.77,-142.44,-31.33
0.278,0.19,-0.38,1.06,15.73,-196.79,-32.67
0.279,0.2,-0.43,1.03,23.31,-262.9,-42.21
0.281,0.23,-0.41,0.87,13.48,-331.1,-52.53
0.283,0.19,-0.41,0.87,-10.27,-415.79,-75.21
0.285,0.27,-0.31,0.7,-38.82,-483.83,-112.78
0.287,0.48,-0.24,0.35,-26.7,-487.15,-125.88
0.289,0.75,-0.15,0.23,-8.72,-442.32,-130.98
0.291,0.71,-0.12,0.42,8.23,-389.79,-120.38
0.295,0.99,-0.1,-0.1,-13.97,-362.52,-103.66
0.318,1.26,-0.0,-0.4,6.98,-332.2,-54.26
0.336,1.06,0.0,-0.31,8.96,-313.85,-21.36
0.355,0.68,-0.12,-0.15,5.85,-360.73,-19.51
0.378,0.67,-0.09,-0.26,0.26,-372.89,-25.48
0.396,0.69,-0.1,-0.41,-42.34,-299.8,-26.76
0.415,0.48,-0.12,-0.64,-69.5,-273.37,-44.31
0.437,0.47,-0.06,-0.92,-83.45,-319.39,-74.72
0.455,0.42,0.01,-1.18,-44.75,-337.3,-98.92
0.478,0.5,0.09,-0.86,-40.69,-339.25,-118.78
0.496,0.88,0.22,-0.72,-47.18,-227.22,-86.79
0.515,0.63,0.2,-0.92,-57.6,-235.56,-68.47
0.537,0.39,0.12,-1.07,-50.15,-217.15,-50.27
0.555,0.21,0.15,-1.37,-32.67,-167.11,-37.28
0.578,0.26,0.17,-1.14,-12.41,-149.98,-34.26
0.596,0.24,0.16,-0.86,-18.76,-127.97,-16.56
0.615,0.05,0.14,-1.02,-25.37,-105.92,-8.32
0.637,-0.08,0.13,-0.95,-36.06,-124.14,-29.05
0.656,-0.01,0.18,-1.02,-39.92,-112.26,-35.82
0.678,0.03,0.23,-1.12,-37.08,-111.86,-39.31
0.696,0.03,0.21,-1.02,-29.44,-106.14,-32.23
0.715,0.03,0.26,-1.0,-39.44,-106.34,-25.53
0.737,-0.04,0.26,-1.11,-40.14,-87.59,-11.95
0.755,-0.28,0.26,-1.14,-38.63,-90.29,-14.72
0.778,-0.24,0.22,-0.94,-40.6,-91.33,-21.79
0.797,-0.07,0.32,-0.96,-48.24,-88.17,-25.34
0.815,0.06,0.34,-1.07,-49.86,-56.17,-3.74
0.838,-0.16,0.26,-1.09,-29.8,-46.56,4.67
0.856,-0.18,0.25,-1.01,-16.08,-46.99,6.08
0.875,-0.33,0.22,-0.78,-33.82,-58.81,2.47
0.897,-0.45,0.27,-0.92,-46.66,-61.1,-7.5
0.916,-0.43,0.35,-1.12,-34.4,-68.5,-19.44
0.938,-0.19,0.41,-1.05,-29.53,-42.23,-1.53
0.957,-0.28,0.42,-0.98,-29.13,-36.66,13.74
0.976,-0.36,0.38,-0.92,-28.7,-46.66,13.83
0.998,-0.34,0.43,-1.03,-20.81,-49.04,11.68
1.017,-0.39,0.4,-1.05,-11.39,-37.47,16.73
1.035,-0.42,0.37,-0.97,-6.78,-21.18,15.54
1.058,-0.57,0.35,-0.96,-2.53,-28.66,-2.95
1.076,-0.37,0.42,-1.03,2.64,-21.86,-10.53
1.095,-0.32,0.39,-0.92,8.06,-2.34,-2.35
1.118,-0.36,0.4,-0.85,-2.81,-4.4,0.53
1.136,-0.4,0.4,-0.9,-4.12,0.06,-0.05
1.155,-0.36,0.4,-0.97,-2.0,12.09,3.59
1.177,-0.37,0.39,-0.96,2.96,19.86,5.54
1.196,-0.44,0.32,-0.81,4.99,2.23,-8.12
1.216,-0.22,0.39,-0.8,-4.67,-2.52,-8.03
1.238,-0.27,0.39,-0.93,-3.54,-2.63,2.93
1.256,-0.31,0.37,-0.94,3.65,8.4,9.92
1.275,-0.38,0.33,-0.84,2.31,4.14,4.93
1.298,-0.39,0.33,-0.84,1.59,5.82,0.18
1.317,-0.35,0.36,-0.89,-1.51,7.68,-4.82
1.336,-0.31,0.38,-0.91,0.35,7.4,-4.26
1.358,-0.27,0.4,-0.89,1.57,13.44,2.14
1.38,-0.36,0.37,-0.93,8.05,11.82,4.5
1.395,-0.36,0.37,-0.87,7.11,1.74,-2.58
1.414,-0.3,0.38,-0.91,4.82,7.33,-1.71
1.437,-0.31,0.37,-0.9,4.6,6.4,-1.88
1.456,-0.3,0.36,-0.88,3.36,9.68,0.05
1.475,-0.33,0.35,-0.88,2.67,6.53,-0.85
1.497,-0.3,0.35,-0.87,-1.21,4.85,0.14
1.516,-0.28,0.35,-0.93,-1.97,11.57,4.61
1.535,-0.36,0.34,-0.92,3.73,10.38,3.76
1.558,-0.34,0.34,-0.92,7.63,8.56,-2.32
1.577,-0.35,0.35,-0.9,7.11,8.44,-5.05
1.595,-0.27,0.37,-0.92,4.53,7.89,-6.26
1.618,-0.26,0.34,-0.91,5.95,12.53,0.06
1.637,-0.27,0.33,-0.88,3.69,6.11,2.18
1.655,-0.33,0.33,-0.88,1.91,2.84,0.92
1.678,-0.29,0.33,-0.91,0.03,3.34,0.76
1.697,-0.28,0.34,-0.91,-2.06,2.67,1.59
1.716,-0.32,0.35,-0.95,0.87,9.24,4.24
1.735,-0.34,0.34,-0.91,0.98,4.76,0.0
1.757,-0.3,0.34,-0.93,2.9,6.4,-1.3
